,full_name,stargazers_count,language,description,created_at
0,Grasscutters/Grasscutter,12235,Java,A server software reimplementation for a certain anime game.,2022-04-17
1,AUTOMATIC1111/stable-diffusion-webui,28456,Python,Stable Diffusion web UI,2022-08-22
2,NVlabs/instant-ngp,10759,Cuda,Instant neural graphics primitives: lightning fast NeRF and more,2022-01-05
3,f/awesome-chatgpt-prompts,15375,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
4,lensterxyz/lenster,11964,TypeScript,"Lenster is a decentralized, and permissionless social media app built with Lens Protocol 🌿 ",2022-03-19
5,CodeEditApp/CodeEdit,16233,Swift,"CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2022-03-10
6,openai/whisper,20945,Jupyter Notebook,Robust Speech Recognition via Large-Scale Weak Supervision,2022-09-16
7,t3-oss/create-t3-app,13169,TypeScript,"The best way to start a full-stack, typesafe Next.js app ",2022-05-24
8,AykutSarac/jsoncrack.com,21478,TypeScript,"🔮 Seamlessly visualize your JSON data instantly into graphs; paste, import or fetch!",2022-01-30
9,pocketbase/pocketbase,19779,Go,Open Source realtime backend in 1 file,2022-07-05
10,toeverything/AFFiNE,12243,TypeScript," There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",2022-07-31
11,charmbracelet/gum,11827,Go,A tool for glamorous shell scripts 🎀,2022-06-10
12,sismo-core/sismo-protocol,15053,TypeScript,Contracts of the Sismo Attestation Protocol ,2022-06-16
13,pyscript/pyscript,15293,Python,Home Page: https://pyscript.net  Examples: https://pyscript.net/examples,2022-02-21
14,karanpratapsingh/system-design,14237,,Learn how to design systems at scale and prepare for system design interviews,2022-08-15
15,WeNeedHome/SummaryOfLoanSuspension,20337,HTML,全国各省市停贷通知汇总,2022-07-12
16,CompVis/stable-diffusion,39225,Jupyter Notebook,A latent text-to-image diffusion model,2022-08-10
17,NVIDIA/open-gpu-kernel-modules,12814,C,NVIDIA Linux open GPU kernel module source,2022-05-02
18,The-Run-Philosophy-Organization/run,24892,,润学全球官方指定GITHUB，整理润学宗旨、纲领、理论和各类润之实例；解决为什么润，润去哪里，怎么润三大问题； 并成为新中国人的核心宗教，核心信念。,2022-04-10
19,geekan/HowToLiveLonger,20104,,程序员延寿指南 | A programmer's guide to live longer,2022-04-16
