,full_name,stargazers_count,language,description,created_at
0,LazyVim/LazyVim,4169,Lua,Neovim config for the lazy,2022-12-30
1,yihong0618/bilingual_book_maker,3868,Python,Make bilingual epub books Using AI translate,2023-03-02
2,ddiu8081/chatgpt-demo,4077,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
3,yetone/openai-translator,6484,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
4,lllyasviel/ControlNet,13031,Python,Let us control diffusion models!,2023-02-01
5,microsoft/visual-chatgpt,11981,Python,VisualChatGPT,2023-03-02
6,mrsked/mrsk,3445,Ruby,Deploy web apps anywhere.,2023-01-07
7,BlinkDL/ChatRWKV,3234,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
8,Mikubill/sd-webui-controlnet,4524,Python,WebUI extension for ControlNet,2023-02-12
9,LAION-AI/Open-Assistant,18376,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
10,fuergaosi233/wechat-chatgpt,9184,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
11,transitive-bullshit/chatgpt-api,10863,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
12,Chanzhaoyu/chatgpt-web,5881,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
13,localsend/localsend,8528,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
14,lucidrains/PaLM-rlhf-pytorch,5630,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
15,facebookresearch/llama,9938,Python,Inference code for LLaMA models,2023-02-14
16,google/comprehensive-rust,10688,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
17,Kanaries/pygwalker,4437,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
18,humanloop/awesome-chatgpt,5772,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
19,immersive-translate/immersive-translate,3537,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
20,f/awesome-chatgpt-prompts,41169,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
21,yetone/bob-plugin-openai-translator,3462,JavaScript,基于 ChatGPT API 的文本翻译、文本润色、语法纠错 Bob 插件，让我们一起迎接不需要巴别塔的新时代！,2023-02-19
22,acheong08/ChatGPT,20696,Python,Reverse engineered ChatGPT API,2022-12-03
23,memochou1993/gpt-ai-assistant,4079,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
24,hiifeng/V2ray-for-Doprax,5965,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
25,lencx/ChatGPT,21223,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
26,dair-ai/Prompt-Engineering-Guide,13078,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
27,xiaye13579/BBLL,3508,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
28,Nutlope/roomGPT,4940,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
29,shadcn/ui,8853,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
30,total-typescript/ts-reset,4839,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
31,PlexPt/awesome-chatgpt-prompts-zh,13872,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
32,davinci1010/pinduoduo_backdoor,3413,,拼多多apk内嵌提权代码，及动态下发dex分析,2023-03-07
33,Nutlope/aicommits,3817,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
34,natemoo-re/clack,3182,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
35,karpathy/nanoGPT,14595,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
36,arc53/DocsGPT,3162,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
37,DvorakDwarf/Infinite-Storage-Glitch,8709,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
38,wong2/chatgpt-google-extension,11647,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
39,FMInference/FlexGen,6574,Python,Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15
40,google-research/tuning_playbook,17255,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
41,sourcegraph/conc,6266,Go,Better structured concurrency for go,2023-01-02
42,m1guelpf/chatgpt-telegram,3309,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
43,AutumnWhj/ChatGPT-wechat-bot,3138,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
44,dair-ai/ML-Papers-Explained,3698,,Explanation to key concepts in ML,2023-01-12
45,fathyb/carbonyl,11585,Rust,Chromium running inside your terminal,2023-01-20
46,mpociot/chatgpt-vscode,3700,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
47,openai/point-e,4625,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
48,timothybrooks/instruct-pix2pix,3731,Python,,2023-01-09
49,calistus-igwilo/nitda-blockchain-scholarship,3062,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
50,rawandahmad698/PyChatGPT,3654,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
