,full_name,stargazers_count,language,description,created_at
0,transitive-bullshit/chatgpt-api,9603,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
1,Chanzhaoyu/chatgpt-web,1807,Vue,用 Express 和 Vue3 搭建的同时支持 openAI Key 和 网页 accessToken 的 ChatGPT 演示网页,2023-02-09
2,emilkowalski/sonner,1540,TypeScript,An opinionated toast component for React.,2023-02-23
3,shobrook/adrenaline,1609,JavaScript,An AI-powered debugger,2022-12-07
4,tiann/KernelSU,1650,C,A Kernel based root solution for Android,2022-12-09
5,BlinkDL/ChatRWKV,2856,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
6,FMInference/FlexGen,5703,Python,Running large language models like OPT-175B/GPT-3 on a single GPU. Focusing on large-batch high-throughput generation.,2023-02-15
7,youshandefeiyang/IPTV,2319,Go,肥羊的4K/8K超高清IPTV直播源&&直播代码仓库,2022-12-25
8,ai-collection/ai-collection,2306,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
9,lss233/chatgpt-mirai-qq-bot,1572,Python,🚀 一键部署！真正的 ChatGPT QQ 聊天机器人！支持 ChatGPT Plus，多账号负载均衡，人设调教，对话上下文，文字转图片发送，代理加速 (内有视频教程）,2022-12-05
10,google/comprehensive-rust,9926,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
11,acheong08/ChatGPT,19280,Python,Reverse engineered ChatGPT API,2022-12-03
12,mouredev/hello-git,1902,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
13,dair-ai/Prompt-Engineering-Guide,10272,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
14,mmabrouk/chatgpt-wrapper,1945,Python,API for interacting with ChatGPT using Python and from Shell.,2022-12-03
15,iway1/react-ts-form,1723,TypeScript,,2022-12-25
16,Mikubill/sd-webui-controlnet,3534,Python,WebUI extension for ControlNet,2023-02-12
17,Kanaries/pygwalker,3756,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
18,arc53/DocsGPT,2900,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
19,LAION-AI/Open-Assistant,17453,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
