,full_name,stargazers_count,language,description,created_at
0,ggerganov/llama.cpp,15301,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
1,Yidadaa/ChatGPT-Next-Web,3409,TypeScript,一键拥有你自己的 ChatGPT 网页服务。 One-Click to deploy your own ChatGPT web UI.,2023-03-10
2,xx025/carrot,5817,,[Free ChatGPT Site List ]这儿为你准备了众多免费好用的ChatGPT镜像站点，当前100+站点,2023-03-05
3,openai/evals,6998,Python,Evals is a framework for evaluating OpenAI models and an open-source registry of benchmarks.,2023-01-23
4,LianjiaTech/BELLE,2406,Python,BELLE: BE Large Language model Engine（开源中文对话大模型）,2023-03-17
5,yihong0618/xiaogpt,2233,Python,Play ChatGPT with xiaomi AI speaker,2023-02-16
6,mckaywrigley/chatbot-ui,5057,TypeScript,An open source ChatGPT UI.,2023-03-11
7,ddiu8081/chatgpt-demo,5538,TypeScript,A demo repo based on OpenAI API.,2023-03-02
8,cocktailpeanut/dalai,7374,CSS,The simplest way to run LLaMA on your local machine,2023-03-12
9,TheR1D/shell_gpt,3291,Python,"A command-line productivity tool powered by ChatGPT, will help you accomplish your tasks faster and more efficiently.",2023-01-18
10,karfly/chatgpt_telegram_bot,2369,Python,,2022-12-05
11,binary-husky/chatgpt_academic,7873,Python,科研工作专用ChatGPT拓展，特别优化学术Paper润色体验，支持自定义快捷按钮，支持markdown表格显示，Tex公式双显示，代码显示功能完善，新增本地Python工程剖析功能/自我剖析功能,2023-03-20
12,madawei2699/myGPTReader,2840,Python,"myGPTReader is a slack bot that can read any webpage, ebook, video(YouTube) or document and summarize it with chatGPT. It can also talk to you via voice using the content in the channel.",2023-03-08
13,BloopAI/bloop,3116,TypeScript,bloop is a fast code search engine written in Rust.,2022-12-10
14,tloen/alpaca-lora,7004,Jupyter Notebook,Instruct-tune LLaMA on consumer hardware,2023-03-13
15,GaiZhenbiao/ChuanhuChatGPT,6804,Python,GUI for ChatGPT API,2023-03-02
16,fuergaosi233/wechat-chatgpt,10396,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
17,Nutlope/aicommits,4550,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
18,nsarrazin/serge,2609,Python,"A web interface for chatting with Alpaca through llama.cpp. Fully dockerized, with an easy to use API.",2023-03-19
19,Chanzhaoyu/chatgpt-web,11625,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
20,kaixindelele/ChatPaper,5173,Python,Use ChatGPT to summarize the arXiv papers. 全流程加速科研，利用chatgpt进行论文总结+润色+审稿+审稿回复,2023-03-08
21,getcursor/cursor,9007,TypeScript,An editor made for programming with AI 🤖,2023-03-12
22,oobabooga/text-generation-webui,4594,Python,"A gradio web UI for running Large Language Models like GPT-J 6B, OPT, GALACTICA, LLaMA, and Pygmalion.",2022-12-21
23,microsoft/semantic-kernel,3579,C#,Integrate cutting-edge LLM technology quickly and easily into your apps,2023-02-27
24,whitead/paper-qa,1637,Python,LLM Chain for answering questions from documents with citations,2023-02-05
25,lss233/chatgpt-mirai-qq-bot,3377,Python,🚀 一键部署！真正的 AI 聊天机器人！支持ChatGPT、文心一言、Bing、Bard、ChatGLM、POE，多账号，人设调教，虚拟女仆、图片渲染、语音发送 | 支持 QQ、Telegram、Discord 等平台,2022-12-05
26,comfyanonymous/ComfyUI,3832,Python,A powerful and modular stable diffusion GUI with a graph/nodes interface.,2023-01-17
27,chathub-dev/chathub,3254,TypeScript,All-in-one chatbot client,2023-03-04
28,josStorer/chatGPTBox,4357,JavaScript,"Integrating ChatGPT into your browser deeply, everything you need is here",2023-03-15
29,immersive-translate/immersive-translate,4515,TypeScript,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
30,PlexPt/chatgpt-java,1579,Java,ChatGPT Java SDK。支持 GPT3.5、 GPT4 API。开箱即用。,2022-12-07
31,dreamworksanimation/openmoonray,3542,CMake,,2023-03-14
32,togethercomputer/OpenChatKit,6867,Python,,2023-03-03
33,Nutlope/restorePhotos,2623,TypeScript,Restoring old and blurry face photos with AI.,2023-01-08
34,Nutlope/roomGPT,6246,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
35,nomic-ai/gpt4all,3225,Python,"gpt4all: a chatbot trained on a massive collection of clean assistant data including code, stories and dialogue",2023-03-27
36,jdxcode/rtx,1729,Rust,Runtime Executor (asdf rust clone),2023-01-09
37,mouredev/hello-git,2281,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
38,AmbientRun/Ambient,2831,Rust,The multiplayer game engine,2022-12-19
39,activepieces/activepieces,1764,TypeScript,No-code Business Automation Tool. An open source alternative to Zapier.,2022-12-03
