,full_name,stargazers_count,language,description,created_at
0,FMInference/FlexGen,4642,Python,Running large language models like OPT-175B/GPT-3 on a single GPU. Focusing on high-throughput generation.,2023-02-15
1,DvorakDwarf/Infinite-Storage-Glitch,5889,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
2,AutumnWhj/ChatGPT-wechat-bot,2916,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
3,ai-collection/ai-collection,2256,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
4,LAION-AI/Open-Assistant,16896,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
5,lllyasviel/ControlNet,7894,Python,Let us control diffusion models,2023-02-01
6,fuergaosi233/wechat-chatgpt,8507,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
7,PlexPt/awesome-chatgpt-prompts-zh,8961,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
8,dair-ai/Prompt-Engineering-Guide,7384,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
9,mmabrouk/chatgpt-wrapper,1775,Python,API for interacting with ChatGPT using Python and from Shell.,2022-12-03
10,total-typescript/ts-reset,3548,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
11,BlinkDL/ChatRWKV,2685,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
12,shadcn/ui,8404,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
13,tiann/KernelSU,1600,C,A Kernel based root solution for Android,2022-12-09
14,arc53/DocsGPT,2807,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
15,acheong08/ChatGPT,18559,Python,Reverse engineered ChatGPT API,2022-12-03
16,Mikubill/sd-webui-controlnet,2712,Python,WebUI extension for ControlNet,2023-02-12
17,shobrook/adrenaline,1603,JavaScript,An AI-powered debugger,2022-12-07
18,memochou1993/gpt-ai-assistant,1861,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
19,lencx/ChatGPT,17138,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
20,localsend/localsend,7191,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
21,google/comprehensive-rust,9393,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
22,cloudflare/wildebeest,1745,TypeScript,Wildebeest is an ActivityPub and Mastodon-compatible server,2022-12-21
23,f/awesome-chatgpt-prompts,31268,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
24,natemoo-re/clack,2836,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
25,mouredev/hello-git,1836,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
26,mouredev/retos-programacion-2023,1554,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
27,Nutlope/aicommits,2545,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
28,AzeemIdrisi/PhoneSploit-Pro,2383,Python,An all-in-one hacking tool to remotely exploit Android devices using ADB and Metasploit-Framework to get a Meterpreter session.,2022-12-24
29,Kanaries/pygwalker,2970,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
30,askrella/whatsapp-chatgpt,1712,TypeScript,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,2022-12-08
31,transitive-bullshit/chatgpt-api,9296,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
32,karpathy/nanoGPT,13856,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
33,amazon-science/mm-cot,2325,Python,"Official implementation for ""Multimodal Chain-of-Thought Reasoning in Language Models"" (stay tuned and more will be updated)",2023-02-02
