,full_name,stargazers_count,language,description,created_at
0,xx025/carrot,6444,,Free ChatGPT Site List 这儿为你准备了众多免费好用的ChatGPT镜像站点，当前100+站点,2023-03-05
1,RockChinQ/QChatGPT,1877,Python,高稳定性、低耦合、支持插件、适配多种模型的 ChatGPT NewBing QQ 机器人 [已支持 GPT-4、New Bing 🎉],2022-12-07
2,ztjhz/BetterChatGPT,1824,TypeScript,Play and chat smarter with Better ChatGPT - an amazing open-source web app with a better UI for exploring OpenAI's ChatGPT API! (Website + Windows + MacOS + Linux),2023-03-03
3,shobrook/adrenaline,1976,JavaScript,Talk to your codebase,2022-12-07
4,immersive-translate/immersive-translate,4965,TypeScript,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
5,npiv/chatblade,1800,Python,A CLI Swiss Army Knife for ChatGPT,2023-03-19
6,ggerganov/llama.cpp,17553,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
7,Nutlope/aicommits,4660,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
8,LianjiaTech/BELLE,2837,Python,BELLE: Be Everyone's Large Language model Engine（开源中文对话大模型）,2023-03-17
9,binary-husky/chatgpt_academic,18032,Python,科研工作专用ChatGPT拓展，特别优化学术Paper润色体验，支持自定义快捷按钮，支持markdown表格显示，Tex公式双显示，代码显示功能完善，新增本地Python工程剖析功能/自我剖析功能,2023-03-20
10,nsarrazin/serge,2940,Python,"A web interface for chatting with Alpaca through llama.cpp. Fully dockerized, with an easy to use API.",2023-03-19
11,getcursor/cursor,11502,TypeScript,An editor made for programming with AI 🤖,2023-03-12
12,PlexPt/awesome-chatgpt-prompts-zh,26317,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
13,twitter/the-algorithm,34274,Scala,Source code for Twitter's Recommendation Algorithm,2023-03-27
14,madawei2699/myGPTReader,3085,Python,"myGPTReader is a bot on Slack that can read and summarize any webpage, documents including ebooks, or even videos from YouTube. It can communicate with you through voice.",2023-03-08
15,oobabooga/text-generation-webui,4972,Python,"A gradio web UI for running Large Language Models like LLaMA, llama.cpp, GPT-J, OPT, and GALACTICA.",2022-12-21
16,yihong0618/bilingual_book_maker,4903,Python,Make bilingual epub books Using AI translate,2023-03-02
17,mckaywrigley/chatbot-ui,7241,TypeScript,An open source ChatGPT UI.,2023-03-11
18,GaiZhenbiao/ChuanhuChatGPT,7564,Python,GUI for ChatGPT API,2023-03-02
19,fuergaosi233/wechat-chatgpt,10714,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
20,memochou1993/gpt-ai-assistant,4745,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
21,LC1332/Luotuo-Chinese-LLM,1699,Jupyter Notebook,骆驼(Luotuo): Open Sourced Chinese Language Models. Developed by 陈启源 @ 华中师范大学 & 李鲁鲁 @ 商汤科技 & 冷子昂 @ 商汤科技,2023-03-21
22,lm-sys/FastChat,2705,Python,"The release repo for ""Vicuna: An Open Chatbot Impressing GPT-4""",2023-03-19
23,Yidadaa/ChatGPT-Next-Web,8569,TypeScript,一键拥有你自己的 ChatGPT 网页服务。 One-Click to deploy your own ChatGPT web UI.,2023-03-10
24,acheong08/EdgeGPT,4982,Python,Reverse engineered API of Microsoft's Bing Chat AI,2023-02-09
25,LAION-AI/Open-Assistant,20269,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
26,comfyanonymous/ComfyUI,4110,Python,A powerful and modular stable diffusion GUI with a graph/nodes interface.,2023-01-17
27,BlinkDL/ChatRWKV,4864,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
28,openai/evals,7339,Python,Evals is a framework for evaluating OpenAI models and an open-source registry of benchmarks.,2023-01-23
29,microsoft/semantic-kernel,3857,C#,Integrate cutting-edge LLM technology quickly and easily into your apps,2023-02-27
30,TheR1D/shell_gpt,3628,Python,"A command-line productivity tool powered by ChatGPT, will help you accomplish your tasks faster and more efficiently.",2023-01-18
31,localsend/localsend,9647,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
32,cocktailpeanut/dalai,8204,CSS,The simplest way to run LLaMA on your local machine,2023-03-12
33,chathub-dev/chathub,3521,TypeScript,All-in-one chatbot client,2023-03-04
34,yzfly/awesome-chatgpt-zh,2368,,ChatGPT 中文指南，指令指南，精选资源清单，更好的使用 chatGPT 让你的生产力 up up up! ,2023-03-21
35,tatsu-lab/stanford_alpaca,17521,Python,"Code and documentation to train Stanford's Alpaca models, and generate the data.",2023-03-10
36,yihong0618/xiaogpt,2346,Python,Play ChatGPT with xiaomi AI speaker,2023-02-16
37,lencx/ChatGPT,28757,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
38,Chanzhaoyu/chatgpt-web,13478,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
39,nomic-ai/gpt4all,16679,Python,"gpt4all: a chatbot trained on a massive collection of clean assistant data including code, stories and dialogue",2023-03-27
40,bvaughn/react-resizable-panels,1553,TypeScript,,2022-12-22
41,twitter/the-algorithm-ml,4840,Python,Source code for Twitter's Recommendation Algorithm,2023-03-27
42,kaixindelele/ChatPaper,6521,Python,Use ChatGPT to summarize the arXiv papers. 全流程加速科研，利用chatgpt进行论文总结+润色+审稿+审稿回复,2023-03-08
43,mouredev/retos-programacion-2023,1963,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
44,activepieces/activepieces,1791,TypeScript,No-code Business Automation Tool. An open source alternative to Zapier.,2022-12-03
45,Bin-Huang/chatbox,5027,TypeScript,"A desktop app for ChatGPT API (OpenAI API) that supports Windows, Mac & Linux.  开源的ChatGPT桌面应用，prompt 开发神器，全平台支持，下载安装包就能用",2023-03-06
46,mukulpatnaik/researchgpt,2504,Python,An open-source LLM based research assistant that allows you to have a conversation with a research paper,2023-02-01
47,acheong08/ChatGPT,22850,Python,Reverse engineered ChatGPT API,2022-12-03
48,Mikubill/sd-webui-controlnet,5764,Python,WebUI extension for ControlNet,2023-02-12
49,Yue-Yang/ChatGPT-Siri,2292,,"Shortcuts for Siri using ChatGPT API gpt-3.5-turbo & gpt-4 model, supports continuous conversations, configure the API key & save chat records. 由 ChatGPT API gpt-3.5-turbo & gpt-4 模型驱动的智能 Siri，支持连续对话，配置API key，配置系统prompt，保存聊天记录。",2023-02-26
50,mmabrouk/chatgpt-wrapper,2903,Python,API for interacting with ChatGPT and GPT4 using Python and from Shell.,2022-12-03
51,ymcui/Chinese-LLaMA-Alpaca,1535,Python,中文LLaMA&Alpaca大语言模型+本地部署 (Chinese LLaMA & Alpaca LLMs),2023-03-15
52,lss233/chatgpt-mirai-qq-bot,3646,Python,🚀 一键部署！真正的 AI 聊天机器人！支持ChatGPT、文心一言、Bing、Bard、ChatGLM、POE，多账号，人设调教，虚拟女仆、图片渲染、语音发送 | 支持 QQ、Telegram、Discord 等平台,2022-12-05
53,hwchase17/langchainjs,1577,TypeScript,,2023-02-06
54,reorx/awesome-chatgpt-api,3960,Python,"Curated list of apps and tools that not only use the new ChatGPT API, but also allow users to configure their own API keys, enabling free and on-demand usage of their own quota.",2023-03-04
