,full_name,stargazers_count,language,description,created_at
0,ddiu8081/chatgpt-demo,850,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
1,abacaj/awesome-transformers,427,,A curated list of awesome transformer models.,2023-02-25
2,yihong0618/bilingual_book_maker,477,Python,Make bilingual epub books Using AI translate,2023-03-02
3,ErickWendel/semana-javascript-expert07,2142,JavaScript,JS Expert Week 7.0 - 🙅🤏🏻 Controlling Streaming Platforms using Eye and Hand Detection 👁🖐,2023-02-26
4,nickolaskg/Binance-Trade-Bot-2023,656,,,2023-03-01
5,ockeghem/badtodo,457,PHP,,2023-02-28
