,full_name,stargazers_count,language,description,created_at
0,dair-ai/Prompt-Engineering-Guide,8685,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
1,mouredev/hello-git,1864,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
2,acheong08/ChatGPT,18838,Python,Reverse engineered ChatGPT API,2022-12-03
3,transitive-bullshit/chatgpt-api,9394,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
4,LAION-AI/Open-Assistant,17133,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
5,cloneofsimo/lora,1944,Jupyter Notebook,Using Low-rank adaptation to quickly fine-tune diffusion models.,2022-12-08
6,FMInference/FlexGen,5064,Python,Running large language models like OPT-175B/GPT-3 on a single GPU. Focusing on high-throughput generation.,2023-02-15
7,Mikubill/sd-webui-controlnet,2984,Python,WebUI extension for ControlNet,2023-02-12
8,shobrook/adrenaline,1605,JavaScript,An AI-powered debugger,2022-12-07
9,BlinkDL/ChatRWKV,2742,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
10,lllyasviel/ControlNet,8664,Python,Let us control diffusion models!,2023-02-01
11,acheong08/EdgeGPT,2165,Python,Reverse engineered API of Microsoft's Bing Chat,2023-02-09
12,mmabrouk/chatgpt-wrapper,1828,Python,API for interacting with ChatGPT using Python and from Shell.,2022-12-03
13,tiann/KernelSU,1612,C,A Kernel based root solution for Android,2022-12-09
14,arc53/DocsGPT,2832,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
15,waylaidwanderer/node-chatgpt-api,1618,JavaScript,"A client implementation for ChatGPT and Bing. Available as a Node.js module, REST API server, and CLI app.",2023-01-07
16,sourcegraph/conc,6021,Go,Better structured concurrency for go,2023-01-02
17,natemoo-re/clack,2910,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
18,memochou1993/gpt-ai-assistant,2359,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
19,cloudflare/wildebeest,1752,TypeScript,Wildebeest is an ActivityPub and Mastodon-compatible server,2022-12-21
20,mouredev/retos-programacion-2023,1567,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
21,TheR1D/shell_gpt,1702,Python,"A command-line interface (CLI) productivity tool powered by OpenAI's GPT-3 models, will help you accomplish your tasks faster and more efficiently.",2023-01-18
22,wong2/chatgpt-google-extension,10995,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
23,askrella/whatsapp-chatgpt,1752,TypeScript,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,2022-12-08
24,immersive-translate/immersive-translate,3076,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
25,f/awesome-chatgpt-prompts,32264,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
26,hiifeng/V2ray-for-Doprax,5103,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
27,lencx/ChatGPT,17513,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
28,DvorakDwarf/Infinite-Storage-Glitch,7213,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
29,localsend/localsend,7517,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
30,jaymody/picoGPT,1762,Python,An unnecessarily tiny implementation of GPT-2 in NumPy.,2023-01-21
31,AzeemIdrisi/PhoneSploit-Pro,2391,Python,An all-in-one hacking tool to remotely exploit Android devices using ADB and Metasploit-Framework to get a Meterpreter session.,2022-12-24
32,fathyb/carbonyl,11240,Rust,Chromium running inside your terminal,2023-01-20
33,JusticeRage/Gepetto,1877,Python,IDA plugin which queries OpenAI's davinci-003 language model to speed up reverse-engineering,2022-12-04
34,mjl-/mox,1976,Go,modern full-featured open source secure mail server for low-maintenance self-hosted email,2023-01-30
35,gluon-framework/gluon,2596,JavaScript,"A new framework for creating desktop apps from websites, using system installed browsers and NodeJS",2022-12-07
36,Mokshit06/typewind,1790,TypeScript,The safety of Typescript with the magic of Tailwind.,2023-01-17
37,Nutlope/restorePhotos,2315,TypeScript,Restoring old and blurry face photos with AI.,2023-01-08
38,dair-ai/ML-Papers-Explained,3051,,Explanation to key concepts in ML,2023-01-12
39,shadcn/ui,8473,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
40,amazon-science/mm-cot,2635,Python,"Official implementation for ""Multimodal Chain-of-Thought Reasoning in Language Models"" (stay tuned and more will be updated)",2023-02-02
41,google/comprehensive-rust,9422,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
42,Kanaries/pygwalker,3307,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
43,facebookresearch/llama,3129,Python,Inference code for LLaMA models,2023-02-14
44,karpathy/nanoGPT,13963,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
45,varunshenoy/GraphGPT,2567,JavaScript,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,2023-01-31
46,total-typescript/ts-reset,3860,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
47,google-research/tuning_playbook,16531,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
48,AmbientRun/Ambient,1912,Rust,The multiplayer game engine,2022-12-19
49,Nutlope/aicommits,2662,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
50,youshandefeiyang/IPTV,2249,Go,肥羊的4K/8K超高清IPTV直播源&&直播代码仓库,2022-12-25
51,AutumnWhj/ChatGPT-wechat-bot,2946,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
52,LazyVim/LazyVim,3869,Lua,Neovim config for the lazy,2022-12-30
53,ai-collection/ai-collection,2271,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
54,fuergaosi233/wechat-chatgpt,8557,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
55,PlexPt/awesome-chatgpt-prompts-zh,9381,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
56,qunash/chatgpt-advanced,2249,TypeScript,WebChatGPT: A browser extension that augments your ChatGPT prompts with web results.,2022-12-03
57,lucidrains/PaLM-rlhf-pytorch,5455,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
58,iway1/react-ts-form,1713,TypeScript,,2022-12-25
59,m-bain/whisperX,1605,Python,WhisperX:  Automatic Speech Recognition with Word-level Timestamps (& Diarization),2022-12-09
60,humanloop/awesome-chatgpt,5277,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
61,mpociot/chatgpt-vscode,3530,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
62,guaguaguaxia/weekly_report,2298,CSS,,2023-02-09
63,skydoves/chatgpt-android,1789,Kotlin,📲 ChatGPT Android demonstrates OpenAI's ChatGPT on Android with Stream Chat SDK for Compose.,2022-12-09
64,shinework/photoshot,1702,TypeScript,An open-source AI avatar generator web app - https://photoshot.app,2022-12-05
65,lucidrains/musiclm-pytorch,1540,Python,"Implementation of MusicLM, Google's new SOTA model for music generation using attention networks, in Pytorch",2023-01-27
66,steven-tey/precedent,2064,TypeScript,"An opinionated collection of components, hooks, and utilities for your Next.js project.",2023-01-13
67,gofireflyio/aiac,1725,Go,Artificial Intelligence Infrastructure-as-Code Generator.,2022-12-07
68,danielgross/whatsapp-gpt,2563,Go,,2022-12-02
69,gragland/chatgpt-chrome-extension,2122,JavaScript,A ChatGPT Chrome extension. Integrates ChatGPT into every text box on the internet.,2022-12-04
70,eliaszon/Programmers-Overseas-Job-Interview-Handbook,2481,,🏂🏻 程序员海外工作/英文面试手册,2022-12-23
71,openai/point-e,4409,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
72,timothybrooks/instruct-pix2pix,3581,Python,,2023-01-09
73,amitshekhariitbhu/go-backend-clean-architecture,2013,Go,"A Go (Golang) Backend Clean Architecture project with Gin, MongoDB, JWT Authentication Middleware, Test, and Docker.",2023-01-08
74,xiaye13579/BBLL,3193,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
75,TheAppleTucker/backend-GPT,2601,JavaScript,,2023-01-21
76,calistus-igwilo/nitda-blockchain-scholarship,3060,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
77,midudev/kings-league-project,1516,JavaScript,API y website de la Kings League Infojobs por temas didácticos,2023-01-03
78,m1guelpf/chatgpt-telegram,3112,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
79,rawandahmad698/PyChatGPT,3516,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
