,full_name,stargazers_count,language,description,created_at
0,curl/trurl,1094,C,trurl is a command line tool for URL parsing and manipulation.,2023-03-31
1,project-baize/baize-chatbot,546,Python,Let ChatGPT teach your own chatbot in hours with a single GPU!,2023-03-31
2,yoheinakajima/babyagi,1439,Python,,2023-04-03
3,mckaywrigley/ai-code-translator,1726,TypeScript,Use AI to translate code from one language to another.,2023-03-31
4,microsoft/JARVIS,6585,Python,"JARVIS, a system to connect LLMs with ML community",2023-03-30
5,AetherCortex/Llama-X,865,Python,Open Academic Research on Improving LLaMA to SOTA LLM,2023-03-30
6,yakGPT/yakGPT,837,TypeScript,"Locally running, hands-free ChatGPT",2023-03-30
7,teknium1/GPTeacher,404,,"A collection of modular datasets generated by GPT-4, General-Instruct - Roleplay-Instruct - Code-Instruct - and Toolformer",2023-04-02
8,logankilpatrick/ChatGPT-Plugins-Collection,416,Julia,"An unofficial collection of Plugins for ChatGPT, in any programming language!",2023-04-02
9,jesselau76/GPT-Prompts,538,,Useful GPT Prompts,2023-03-30
