,full_name,stargazers_count,language,description,created_at
0,skydoves/chatgpt-android,2191,Kotlin,📲 ChatGPT Android demonstrates OpenAI's ChatGPT on Android with Stream Chat SDK for Compose.,2022-12-09
1,Yue-Yang/ChatGPT-Siri,1571,,"Shortcuts for Siri using ChatGPT API gpt-3.5-turbo model, supports continuous conversations, configure the API key & save chat records. 由 ChatGPT API gpt-3.5-turbo 模型驱动的智能 Siri，支持连续对话，配置API key，保存聊天记录。",2023-02-26
2,xx025/carrot,2813,,这儿收集了一些免费好用的ChatGPT镜像站和其他AI站点，当前：76个站点,2023-03-05
3,yihong0618/bilingual_book_maker,4316,Python,Make bilingual epub books Using AI translate,2023-03-02
4,futantan/OpenGpt,2467,TypeScript,Create your own ChatGPT App in seconds.,2023-03-03
5,total-typescript/ts-reset,4970,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
6,openai/evals,5386,Python,Evals is a framework for evaluating OpenAI models and an open-source registry of benchmarks.,2023-01-23
7,waylaidwanderer/node-chatgpt-api,2287,JavaScript,"A client implementation for ChatGPT and Bing AI. Available as a Node.js module, REST API server, and CLI app.",2023-01-07
8,ggerganov/llama.cpp,9437,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
9,guaguaguaxia/weekly_report,2564,CSS,,2023-02-09
10,comfyanonymous/ComfyUI,2235,Python,A powerful and modular stable diffusion GUI with a graph/nodes interface.,2023-01-17
11,Chanzhaoyu/chatgpt-web,7570,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
12,f/awesome-chatgpt-prompts,44367,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
13,LAION-AI/Open-Assistant,18926,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
14,JimmyLv/BibiGPT,1797,TypeScript,"BibiGPT · One-click summary for video &  audio content: Bilibili | YouTube | Websites丨Podcasts | Meetings | Local files, etc. 音视频内容一键总结：哔哩哔哩丨YouTube丨网页丨播客丨会议丨本地文件等 (原 BiliGPT 省流神器 & 课代表)",2023-02-26
15,jdxcode/rtx,1596,Rust,Runtime Executor (asdf rust clone),2023-01-09
16,cocktailpeanut/dalai,2249,JavaScript,The simplest way to run LLaMA on your local machine,2023-03-12
17,Mikubill/sd-webui-controlnet,4898,Python,WebUI extension for ControlNet,2023-02-12
