,full_name,stargazers_count,language,description,created_at
0,AUTOMATIC1111/stable-diffusion-webui,29645,Python,Stable Diffusion web UI,2022-08-22
1,lensterxyz/lenster,12282,TypeScript,"Lenster is a decentralized, and permissionless social media app built with Lens Protocol 🌿 ",2022-03-19
2,invoke-ai/InvokeAI,10060,Jupyter Notebook,"InvokeAI is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, supports terminal use through a CLI, and serves as the foundation for multiple commercial products.",2022-08-17
3,terrastruct/d2,10246,Go,D2 is a modern diagram scripting language that turns text to diagrams.,2022-09-05
4,t3-oss/create-t3-app,13620,TypeScript,"The best way to start a full-stack, typesafe Next.js app ",2022-05-24
5,openai/openai-cookbook,10067,Python,Examples and guides for using the OpenAI API,2022-03-11
6,pocketbase/pocketbase,20385,Go,Open Source realtime backend in 1 file,2022-07-05
7,pyscript/pyscript,15335,Python,Home Page: https://pyscript.net  Examples: https://pyscript.net/examples,2022-02-21
8,CodeEditApp/CodeEdit,16322,Swift,"CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2022-03-10
9,openai/whisper,22017,Jupyter Notebook,Robust Speech Recognition via Large-Scale Weak Supervision,2022-09-16
10,acheong08/ChatGPT,10048,Python,Lightweight package for interacting with ChatGPT's API by OpenAI. Uses reverse engineered official API.,2022-12-03
11,NVlabs/instant-ngp,10861,Cuda,Instant neural graphics primitives: lightning fast NeRF and more,2022-01-05
12,CompVis/stable-diffusion,39886,Jupyter Notebook,A latent text-to-image diffusion model,2022-08-10
13,f/awesome-chatgpt-prompts,18192,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
14,google-research/tuning_playbook,11151,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
15,AykutSarac/jsoncrack.com,21575,TypeScript,"🔮 Seamlessly visualize your JSON data instantly into graphs; paste, import or fetch!",2022-01-30
16,NVIDIA/open-gpu-kernel-modules,12848,C,NVIDIA Linux open GPU kernel module source,2022-05-02
17,sismo-core/sismo-protocol,15806,TypeScript,Contracts of the Sismo Attestation Protocol ,2022-06-16
18,Grasscutters/Grasscutter,12370,Java,A server software reimplementation for a certain anime game.,2022-04-17
19,toeverything/AFFiNE,12450,TypeScript," There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",2022-07-31
20,Stability-AI/stablediffusion,10303,Python,High-Resolution Image Synthesis with Latent Diffusion Models,2022-11-23
21,bloomberg/memray,10002,Python,Memray is a memory profiler for Python,2022-04-08
22,charmbracelet/gum,11996,Go,A tool for glamorous shell scripts 🎀,2022-06-10
23,karanpratapsingh/system-design,14322,,Learn how to design systems at scale and prepare for system design interviews,2022-08-15
24,WeNeedHome/SummaryOfLoanSuspension,20345,HTML,全国各省市停贷通知汇总,2022-07-12
25,The-Run-Philosophy-Organization/run,24972,,润学全球官方指定GITHUB，整理润学宗旨、纲领、理论和各类润之实例；解决为什么润，润去哪里，怎么润三大问题； 并成为新中国人的核心宗教，核心信念。,2022-04-10
26,geekan/HowToLiveLonger,20147,,程序员延寿指南 | A programmer's guide to live longer,2022-04-16
