,full_name,stargazers_count,language,description,created_at
0,f/awesome-chatgpt-prompts,17952,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
1,LazyVim/LazyVim,1959,Lua,Neovim config for the lazy,2022-12-30
2,LAION-AI/Open-Assistant,4747,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
3,google/comprehensive-rust,8069,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
4,ai-collection/ai-collection,1742,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
5,google-research/tuning_playbook,10608,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
6,lencx/ChatGPT,5991,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
7,karpathy/nanoGPT,9490,Jupyter Notebook,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
8,shadcn/ui,2899,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
9,sourcegraph/conc,4816,Go,Better structured concurrency for go,2023-01-02
10,gluon-framework/gluon,2355,JavaScript,"A new framework for creating desktop apps from websites, using system installed browsers and NodeJS",2022-12-07
11,humanloop/awesome-chatgpt,4298,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
12,wong2/chat-gpt-google-extension,8793,SCSS,A browser extension to display ChatGPT response alongside search engine results,2022-12-04
13,steven-tey/precedent,1700,TypeScript,"An opinionated collection of components, hooks, and utilities for your Next.js project.",2023-01-13
14,timothybrooks/instruct-pix2pix,2392,Python,,2023-01-09
15,acheong08/ChatGPT,9992,Python,Lightweight package for interacting with ChatGPT's API by OpenAI. Uses reverse engineered official API.,2022-12-03
16,transitive-bullshit/chatgpt-api,5642,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
17,midudev/kings-league-project,1506,JavaScript,API y website de la Kings League Infojobs por temas didácticos,2023-01-03
18,xiaye13579/BBLL,1961,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
19,danielgross/whatsapp-gpt,2123,Go,,2022-12-02
20,iway1/react-ts-form,1638,TypeScript,,2022-12-25
21,hiifeng/V2ray-for-Doprax,1938,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
22,m1guelpf/chatgpt-telegram,2448,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
23,lucidrains/PaLM-rlhf-pytorch,4566,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
24,amitshekhariitbhu/go-backend-clean-architecture,1771,Go,"A Go (Golang) Backend Clean Architecture project with Gin, MongoDB, JWT Authentication Middleware, Test, and Docker.",2023-01-08
25,gragland/chatgpt-chrome-extension,1705,JavaScript,A ChatGPT Chrome extension. Integrates ChatGPT into every text box on the internet.,2022-12-04
26,shinework/photoshot,1591,TypeScript,An open-source AI avatar generator web app - https://photoshot.app,2022-12-05
27,dair-ai/ML-Papers-Explained,1754,,Explanation to key concepts in ML,2023-01-12
28,mpociot/chatgpt-vscode,2834,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
29,fuergaosi233/wechat-chatgpt,5402,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
30,calistus-igwilo/nitda-blockchain-scholarship,3047,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
31,rawandahmad698/PyChatGPT,2817,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
32,openai/point-e,4058,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
33,JusticeRage/Gepetto,1793,Python,IDA plugin which queries OpenAI's davinci-003 language model to speed up reverse-engineering,2022-12-04
