,full_name,stargazers_count,language,description,created_at
0,twitter/the-algorithm,22115,Scala,Source code for Twitter's Recommendation Algorithm,2023-03-27
1,twitter/the-algorithm-ml,2878,Python,Source code for Twitter's Recommendation Algorithm,2023-03-27
2,Project-DARC/DARC,543,Solidity,Decentralized Autonomous Regulated Company (DARC) is a virtual machine company that runs on any EVM-compatible blockchain. It features a built-in multi-token and plugin system.,2023-03-27
3,yakGPT/yakGPT,542,TypeScript,"Locally running, hands-free ChatGPT",2023-03-30
4,RosettaCommons/RFdiffusion,369,Python,Code for running RFdiffusion,2023-03-28
5,TaxyAI/browser-extension,2855,TypeScript,Automate your browser with GPT-4,2023-03-27
6,nomic-ai/gpt4all,15360,Python,"gpt4all: a chatbot trained on a massive collection of clean assistant data including code, stories and dialogue",2023-03-27
7,microsoft/JARVIS,576,,"JARVIS, a system to connect LLMs with ML community",2023-03-30
8,HamburgChimps/apple-notes-liberator,745,Java,Free your Apple Notes data from Notes.app,2023-03-26
9,hahahumble/speechgpt,722,TypeScript,SpeechGPT is a web application that enables you to converse with ChatGPT.,2023-03-28
10,AetherCortex/Llama-X,685,Python,Open Academic Research on Improving LLaMA to SOTA LLM,2023-03-30
11,lxfater/Portal,1558,TypeScript,,2023-03-26
12,jesselau76/GPT-Prompts,434,,Useful GPT Prompts,2023-03-30
13,visual-openllm/visual-openllm,554,Python,"something like visual-chatgpt, 文心一言的开源版",2023-03-26
14,davincifans101/pinduoduo_backdoor_detailed_report,1046,,Maybe the most detailed analysis of pdd  backdoors,2023-03-27
