,full_name,stargazers_count,language,description,created_at
0,yetone/openai-translator,4767,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
1,ddiu8081/chatgpt-demo,3882,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
2,LazyVim/LazyVim,4140,Lua,Neovim config for the lazy,2022-12-30
3,yihong0618/bilingual_book_maker,3690,Python,Make bilingual epub books Using AI translate,2023-03-02
4,mrsked/mrsk,3374,Ruby,Deploy web apps anywhere.,2023-01-07
5,lllyasviel/ControlNet,12688,Python,Let us control diffusion models!,2023-02-01
6,google/comprehensive-rust,10653,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
7,acheong08/ChatGPT,20534,Python,Reverse engineered ChatGPT API,2022-12-03
8,immersive-translate/immersive-translate,3470,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
9,BlinkDL/ChatRWKV,3133,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
10,memochou1993/gpt-ai-assistant,4009,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
11,f/awesome-chatgpt-prompts,40419,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
12,Chanzhaoyu/chatgpt-web,5554,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
13,Nutlope/aicommits,3750,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
14,Nutlope/roomGPT,4777,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
15,Kanaries/pygwalker,4388,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
16,yetone/bob-plugin-openai-translator,3329,JavaScript,基于 ChatGPT API 的文本翻译、文本润色、语法纠错 Bob 插件，让我们一起迎接不需要巴别塔的新时代！,2023-02-19
17,LAION-AI/Open-Assistant,18246,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
18,DvorakDwarf/Infinite-Storage-Glitch,8578,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
19,localsend/localsend,8457,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
20,hiifeng/V2ray-for-Doprax,5834,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
21,transitive-bullshit/chatgpt-api,10751,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
22,facebookresearch/llama,9514,Python,Inference code for LLaMA models,2023-02-14
23,total-typescript/ts-reset,4788,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
24,shadcn/ui,8809,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
25,natemoo-re/clack,3163,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
26,dair-ai/Prompt-Engineering-Guide,12801,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
27,PlexPt/awesome-chatgpt-prompts-zh,13460,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
28,fuergaosi233/wechat-chatgpt,9096,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
29,Mikubill/sd-webui-controlnet,4395,Python,WebUI extension for ControlNet,2023-02-12
30,wong2/chatgpt-google-extension,11527,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
31,FMInference/FlexGen,6524,Python,Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15
32,humanloop/awesome-chatgpt,5709,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
33,lencx/ChatGPT,20830,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
34,arc53/DocsGPT,3082,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
35,google-research/tuning_playbook,17155,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
36,karpathy/nanoGPT,14517,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
37,sourcegraph/conc,6257,Go,Better structured concurrency for go,2023-01-02
38,m1guelpf/chatgpt-telegram,3285,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
39,lucidrains/PaLM-rlhf-pytorch,5614,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
40,xiaye13579/BBLL,3431,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
41,AutumnWhj/ChatGPT-wechat-bot,3121,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
42,dair-ai/ML-Papers-Explained,3340,,Explanation to key concepts in ML,2023-01-12
43,fathyb/carbonyl,11562,Rust,Chromium running inside your terminal,2023-01-20
44,mpociot/chatgpt-vscode,3680,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
45,openai/point-e,4601,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
46,timothybrooks/instruct-pix2pix,3692,Python,,2023-01-09
47,calistus-igwilo/nitda-blockchain-scholarship,3062,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
