,full_name,stargazers_count,language,description,created_at
0,yetone/openai-translator,4767,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
1,ddiu8081/chatgpt-demo,3882,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
2,LazyVim/LazyVim,4140,Lua,Neovim config for the lazy,2022-12-30
3,yihong0618/bilingual_book_maker,3690,Python,Make bilingual epub books Using AI translate,2023-03-02
4,mrsked/mrsk,3374,Ruby,Deploy web apps anywhere.,2023-01-07
5,lllyasviel/ControlNet,12688,Python,Let us control diffusion models!,2023-02-01
6,microsoft/visual-chatgpt,2849,Python,VisualChatGPT,2023-03-02
7,karfly/chatgpt_telegram_bot,1541,Python,,2022-12-05
8,google/comprehensive-rust,10653,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
9,acheong08/ChatGPT,20534,Python,Reverse engineered ChatGPT API,2022-12-03
10,AbdullahAlfaraj/Auto-Photoshop-StableDiffusion-Plugin,2318,JavaScript,A user-friendly plug-in that makes it easy to generate stable diffusion images inside Photoshop using Automatic1111-sd-webui as a backend. ,2022-12-20
11,lss233/chatgpt-mirai-qq-bot,2290,Python,🚀 一键部署！真正的 ChatGPT QQ 聊天机器人！支持ChatGPT API、 ChatGPT Plus、新版 Bing，多账号负载均衡，人设调教，敏感词检测，虚拟女仆、对话上下文，图片渲染，代理加速 (内有视频教程）,2022-12-05
12,iway1/react-ts-form,1768,TypeScript,,2022-12-25
13,immersive-translate/immersive-translate,3470,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
14,BlinkDL/ChatRWKV,3133,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
15,ai-collection/ai-collection,2387,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
16,mouredev/retos-programacion-2023,1690,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
17,memochou1993/gpt-ai-assistant,4009,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
18,f/awesome-chatgpt-prompts,40419,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
19,TBXark/ChatGPT-Telegram-Workers,1570,JavaScript,Deploy your own Telegram ChatGPT bot on Cloudflare Workers with ease.,2023-03-03
20,Chanzhaoyu/chatgpt-web,5554,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
21,mukulpatnaik/researchgpt,1859,Python,An open-source LLM based research assistant that allows you to have a conversation with a research paper,2023-02-01
22,Nutlope/aicommits,3750,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
23,waylaidwanderer/node-chatgpt-api,2042,JavaScript,"A client implementation for ChatGPT and Bing AI. Available as a Node.js module, REST API server, and CLI app.",2023-01-07
24,Nutlope/restorePhotos,2527,TypeScript,Restoring old and blurry face photos with AI.,2023-01-08
25,Nutlope/roomGPT,4777,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
26,replicate/scribble-diffusion,1606,JavaScript,Turn your rough sketch into a refined image using AI,2023-02-13
27,Kanaries/pygwalker,4388,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
28,oobabooga/text-generation-webui,1665,Python,"A gradio web UI for running Large Language Models like GPT-J 6B, OPT, GALACTICA, LLaMA, and Pygmalion.",2022-12-21
29,ServiceWeaver/weaver,2583,Go,Programming framework for writing and deploying cloud applications.,2023-01-04
30,mmabrouk/chatgpt-wrapper,2182,Python,API for interacting with ChatGPT using Python and from Shell.,2022-12-03
31,yetone/bob-plugin-openai-translator,3329,JavaScript,基于 ChatGPT API 的文本翻译、文本润色、语法纠错 Bob 插件，让我们一起迎接不需要巴别塔的新时代！,2023-02-19
32,LAION-AI/Open-Assistant,18246,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
33,davinci1010/pinduoduo_backdoor,2695,,拼多多apk内嵌提权代码，及动态下发dex分析,2023-03-07
34,reorx/awesome-chatgpt-api,2802,,"Curated list of apps and tools that not only use the new ChatGPT API, but also allow users to configure their own API keys, enabling free and on-demand usage of their own quota.",2023-03-04
35,Haxxnet/Compose-Examples,2869,,Various Docker Compose examples of selfhosted FOSS and proprietary projects.,2023-02-13
36,GaiZhenbiao/ChuanhuChatGPT,1578,Python,GUI for ChatGPT API,2023-03-02
37,AmbientRun/Ambient,2746,Rust,The multiplayer game engine,2022-12-19
38,DvorakDwarf/Infinite-Storage-Glitch,8578,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
39,activepieces/activepieces,1548,TypeScript,No-code Business Automation Tool. An open source alternative to Zapier.,2022-12-03
40,localsend/localsend,8457,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
41,mouredev/hello-git,2031,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
42,hiifeng/V2ray-for-Doprax,5834,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
43,transitive-bullshit/chatgpt-api,10751,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
