,full_name,stargazers_count,language,description,created_at
0,f/awesome-chatgpt-prompts,22057,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
1,LAION-AI/Open-Assistant,12988,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
2,immersive-translate/immersive-translate,2043,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
3,google/comprehensive-rust,8961,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
4,LazyVim/LazyVim,3131,Lua,Neovim config for the lazy,2022-12-30
5,acheong08/ChatGPT,13983,Python,Reverse engineered ChatGPT API,2022-12-03
6,shadcn/ui,7647,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
7,fathyb/carbonyl,9924,Rust,Chromium running inside your terminal,2023-01-20
8,dair-ai/Prompt-Engineering-Guide,2624,,":octopus: Guides, papers, and resources for prompt engineering",2022-12-16
9,localsend/localsend,5272,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
10,AutumnWhj/ChatGPT-wechat-bot,1931,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
11,gluon-framework/gluon,2503,JavaScript,"A new framework for creating desktop apps from websites, using system installed browsers and NodeJS",2022-12-07
12,arc53/DocsGPT,1682,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
13,transitive-bullshit/chatgpt-api,7317,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
14,karpathy/nanoGPT,12009,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
15,dair-ai/ML-Papers-Explained,2843,,Explanation to key concepts in ML,2023-01-12
16,youshandefeiyang/IPTV,1684,Go,肥羊的4K/8K超高清IPTV直播源&&直播代码仓库,2022-12-25
17,Mokshit06/typewind,1658,TypeScript,The safety of Typescript with the magic of Tailwind.,2023-01-17
18,sourcegraph/conc,5581,Go,Better structured concurrency for go,2023-01-02
19,lencx/ChatGPT,10760,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
20,humanloop/awesome-chatgpt,4678,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
21,AzeemIdrisi/PhoneSploit-Pro,2303,Python,An all-in-one hacking tool to remotely exploit Android devices using ADB and Metasploit-Framework to get a Meterpreter session.,2022-12-24
22,qunash/chatgpt-advanced,1564,TypeScript,WebChatGPT: A browser extension that augments your ChatGPT prompts with web results.,2022-12-03
23,BlinkDL/ChatRWKV,1613,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
24,hiifeng/V2ray-for-Doprax,3540,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
25,wong2/chatgpt-google-extension,9444,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
26,varunshenoy/GraphGPT,2104,JavaScript,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,2023-01-31
27,ai-collection/ai-collection,2061,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
28,gragland/chatgpt-chrome-extension,1897,JavaScript,A ChatGPT Chrome extension. Integrates ChatGPT into every text box on the internet.,2022-12-04
29,fuergaosi233/wechat-chatgpt,6490,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
30,PlexPt/awesome-chatgpt-prompts-zh,4016,,ChatGPT 中文调教指南。怎么让它听你的话。,2022-12-12
31,Nutlope/restorePhotos,1895,TypeScript,Restoring old and blurry face photos with AI.,2023-01-08
32,openai/point-e,4210,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
33,TheAppleTucker/backend-GPT,2414,JavaScript,,2023-01-21
34,google-research/tuning_playbook,14935,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
35,xiaye13579/BBLL,2778,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
36,shinework/photoshot,1658,TypeScript,An open-source AI avatar generator web app - https://photoshot.app,2022-12-05
37,steven-tey/precedent,1914,TypeScript,"An opinionated collection of components, hooks, and utilities for your Next.js project.",2023-01-13
38,timothybrooks/instruct-pix2pix,3235,Python,,2023-01-09
39,danielgross/whatsapp-gpt,2382,Go,,2022-12-02
40,iway1/react-ts-form,1692,TypeScript,,2022-12-25
41,lucidrains/PaLM-rlhf-pytorch,4996,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
42,calistus-igwilo/nitda-blockchain-scholarship,3051,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
43,midudev/kings-league-project,1519,JavaScript,API y website de la Kings League Infojobs por temas didácticos,2023-01-03
44,m1guelpf/chatgpt-telegram,2683,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
45,amitshekhariitbhu/go-backend-clean-architecture,1863,Go,"A Go (Golang) Backend Clean Architecture project with Gin, MongoDB, JWT Authentication Middleware, Test, and Docker.",2023-01-08
46,mpociot/chatgpt-vscode,3261,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
47,rawandahmad698/PyChatGPT,3151,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
48,JusticeRage/Gepetto,1824,Python,IDA plugin which queries OpenAI's davinci-003 language model to speed up reverse-engineering,2022-12-04
