,full_name,stargazers_count,language,description,created_at
0,acheong08/ChatGPT,21179,Python,Reverse engineered ChatGPT API,2022-12-03
1,AUTOMATIC1111/stable-diffusion-webui,48793,Python,Stable Diffusion web UI,2022-08-22
2,dair-ai/Prompt-Engineering-Guide,14021,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
3,toeverything/AFFiNE,13671,TypeScript," There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",2022-07-31
4,f/awesome-chatgpt-prompts,43832,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
5,lensterxyz/lenster,16248,TypeScript,"Lenster is a decentralized, and permissionless social media app built with Lens Protocol 🌿 ",2022-03-19
6,huggingface/diffusers,11805,Python,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,2022-05-30
7,charliermarsh/ruff,10751,Rust,"An extremely fast Python linter, written in Rust.",2022-08-09
8,hwchase17/langchain,11661,Python,⚡ Building applications with LLMs through composability ⚡,2022-10-17
9,google-research/tuning_playbook,17441,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
10,sismo-core/sismo-protocol,16179,TypeScript,Contracts of the Sismo Attestation Protocol ,2022-06-16
11,invoke-ai/InvokeAI,11851,Jupyter Notebook,"InvokeAI is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, supports terminal use through a CLI, and serves as the foundation for multiple commercial products.",2022-08-17
12,LAION-AI/Open-Assistant,18876,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
13,transitive-bullshit/chatgpt-api,11212,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
14,microsoft/visual-chatgpt,21914,Python,"Official repo for the paper: Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models",2023-03-02
15,openai/openai-cookbook,19110,Jupyter Notebook,Examples and guides for using the OpenAI API,2022-03-11
16,lencx/ChatGPT,22618,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
17,terrastruct/d2,11336,Go,D2 is a modern diagram scripting language that turns text to diagrams.,2022-09-05
18,google/comprehensive-rust,10830,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
19,t3-oss/create-t3-app,15453,TypeScript,"The best way to start a full-stack, typesafe Next.js app ",2022-05-24
20,pocketbase/pocketbase,21836,Go,Open Source realtime backend in 1 file,2022-07-05
21,openai/whisper,28384,Python,Robust Speech Recognition via Large-Scale Weak Supervision,2022-09-16
22,CodeEditApp/CodeEdit,17017,Swift,"CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2022-03-10
23,base-org/node,17313,Shell,Everything required to run your own Base node,2023-02-01
24,bloomberg/memray,10244,Python,Memray is a memory profiler for Python,2022-04-08
25,facebookresearch/llama,11955,Python,Inference code for LLaMA models,2023-02-14
26,ggerganov/whisper.cpp,11435,C,Port of OpenAI's Whisper model in C/C++,2022-09-25
27,PlexPt/awesome-chatgpt-prompts-zh,15467,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
28,charmbracelet/gum,12471,Go,A tool for glamorous shell scripts 🎀,2022-06-10
29,karpathy/nanoGPT,15057,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
30,lllyasviel/ControlNet,13975,Python,Let us control diffusion models!,2023-02-01
31,Stability-AI/stablediffusion,13998,Python,High-Resolution Image Synthesis with Latent Diffusion Models,2022-11-23
32,android/nowinandroid,10407,Kotlin,A fully functional Android app built entirely with Kotlin and Jetpack Compose,2022-04-19
33,samber/lo,10446,Go,"💥  A Lodash-style Go library based on Go 1.18+ Generics (map, filter, contains, find...)",2022-03-02
34,tw93/Pake,12423,Rust,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 很简单的用 Rust 打包网页生成很小的桌面 App,2022-10-14
35,CompVis/stable-diffusion,46064,Jupyter Notebook,A latent text-to-image diffusion model,2022-08-10
36,upscayl/upscayl,10455,TypeScript,"🆙 Upscayl - Free and Open Source AI Image Upscaler for Linux, MacOS and Windows built with Linux-First philosophy.",2022-07-30
37,Grasscutters/Grasscutter,12742,Java,A server software reimplementation for a certain anime game.,2022-04-17
38,NVIDIA/open-gpu-kernel-modules,12940,C,NVIDIA Linux open GPU kernel module source,2022-05-02
39,wong2/chatgpt-google-extension,12016,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
40,WeNeedHome/SummaryOfLoanSuspension,20269,HTML,全国各省市停贷通知汇总,2022-07-12
41,fathyb/carbonyl,11621,Rust,Chromium running inside your terminal,2023-01-20
42,karanpratapsingh/system-design,14941,,Learn how to design systems at scale and prepare for system design interviews,2022-08-15
43,atelier-anchor/smiley-sans,10628,HTML,得意黑 Smiley Sans：一款在人文观感和几何特征中寻找平衡的中文黑体,2022-11-11
44,The-Run-Philosophy-Organization/run,25405,,润学全球官方指定GITHUB，整理润学宗旨、纲领、理论和各类润之实例；解决为什么润，润去哪里，怎么润三大问题； 并成为新中国人的核心宗教，核心信念。,2022-04-10
45,geekan/HowToLiveLonger,22038,,程序员延寿指南 | A programmer's guide to live longer,2022-04-16
