,full_name,stargazers_count,language,description,created_at
0,ytsaurus/ytsaurus,1562,C++,YTsaurus is a scalable and fault-tolerant open-source big data platform.,2022-12-05
1,Stability-AI/generative-models,3190,Python,Generative Models by Stability AI,2023-06-22
2,karpathy/llama2.c,5074,Python,Inference Llama 2 in one file of pure C,2023-07-23
3,ggerganov/llama.cpp,36156,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
4,epicweb-dev/epic-stack,2346,TypeScript,This is a Full Stack app starter with the foundational things setup and configured for you to hit the ground running on your next EPIC idea.,2023-05-04
5,PromtEngineer/localGPT,12674,Python,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,2023-05-24
6,activepieces/activepieces,2819,TypeScript,An automation tool / Workflow automation tool / Enterprise automation tool / Business automation tool / Zapier Alternative  ❤️,2022-12-03
7,AmbientRun/Ambient,3237,Rust,The multiplayer game engine,2022-12-19
8,memorysafety/sudo-rs,2042,Rust,A memory safe implementation of sudo and su.,2022-12-12
9,ricklamers/gpt-code-ui,2737,Python,An open source implementation of OpenAI's ChatGPT Code interpreter,2023-05-10
10,HqWu-HITCS/Awesome-Chinese-LLM,1662,,整理开源的中文大语言模型，以规模较小、可私有化部署、训练成本较低的模型为主，包括底座模型，垂直领域微调及应用，数据集与教程等。,2023-05-22
11,openobserve/openobserve,5343,Rust,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance,  🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces).",2023-02-02
12,logspace-ai/langflow,10929,Python,"⛓️ Langflow is a UI for LangChain, designed with react-flow to provide an effortless way to experiment and prototype flows.",2023-02-08
13,dsdanielpark/Bard-API,3885,Python,The unofficial python package that returns response of Google Bard through cookie value.,2023-05-11
14,s0md3v/roop,17436,Python,one-click deepfake (face swap),2023-05-28
15,josStorer/chatGPTBox,8496,JavaScript,"Integrating ChatGPT into your browser deeply, everything you need is here",2023-03-15
16,mouredev/retos-programacion-2023,2819,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
17,mosaicml/llm-foundry,2829,Python,LLM training code for MosaicML foundation models,2023-04-28
18,chat2db/Chat2DB,5648,Java,🔥 🔥 🔥 An intelligent and versatile general-purpose SQL client and reporting tool for databases which integrates ChatGPT capabilities.(智能的通用数据库SQL客户端和报表工具),2023-06-20
19,IsaacMarovitz/Whisky,3701,Swift,A modern Wine wrapper for macOS built with SwiftUI,2023-03-23
20,LazyVim/LazyVim,6788,Lua,Neovim config for the lazy,2022-12-30
21,localsend/localsend,12623,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
22,mrsked/mrsk,6119,Ruby,Deploy web apps anywhere.,2023-01-07
23,Akegarasu/ChatGLM-webui,1711,Python,A WebUI for ChatGLM-6B,2023-03-14
24,SysCV/sam-hq,2235,Python,Segment Anything in High Quality,2023-06-01
25,Chainlit/chainlit,2501,Python,Build Python LLM apps in minutes ⚡️,2023-03-14
26,StanGirard/quivr,18515,TypeScript,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 ",2023-05-12
27,google/comprehensive-rust,18550,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
28,LiLittleCat/awesome-free-chatgpt,8506,Python,"🆓免费的 ChatGPT 镜像网站列表，持续更新。List of free ChatGPT mirror sites, continuously updated. ",2023-03-09
29,OptimalScale/LMFlow,6972,Python,An Extensible Toolkit for Finetuning and Inference of Large Foundation Models. Large Models for All.,2023-03-27
30,shadcn-ui/ui,25524,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
31,loft-sh/devpod,3756,Go,"Codespaces but open-source, client-only and unopinionated: Works with any IDE and lets you use any cloud, kubernetes or just localhost docker.",2023-01-24
32,emptycrown/llama-hub,2068,Python,A library of data loaders for LLMs made by the community -- to be used with GPT Index and/or LangChain,2023-02-01
33,TransformerOptimus/SuperAGI,10835,Python,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.",2023-05-13
34,InternLM/InternLM,2244,Python,"InternLM has open-sourced a 7 billion parameter base model, a chat model tailored for practical scenarios and the training system.",2023-07-06
35,bentoml/OpenLLM,5265,Python,Operating LLMs in production,2023-04-19
36,langgenius/dify,5709,TypeScript,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications.",2023-04-12
37,josStorer/RWKV-Runner,2243,TypeScript,"A RWKV management and startup tool, full automation, only 8MB. And provides an interface compatible with the OpenAI API. RWKV is a large language model that is fully open source and available for commercial use.",2023-05-05
38,gmpetrov/databerry,2033,TypeScript,The no-code platform for building custom LLM Agents,2023-03-27
39,facebookresearch/llama,34289,Python,Inference code for LLaMA models,2023-02-14
40,paul-gauthier/aider,2580,Python,aider is GPT powered coding in your terminal,2023-05-09
41,microsoft/semantic-kernel,11144,C#,Integrate cutting-edge LLM technology quickly and easily into your apps,2023-02-27
42,kohya-ss/sd-scripts,2533,Python,,2022-12-18
43,RVC-Project/Retrieval-based-Voice-Conversion-WebUI,8290,Python,Voice data <= 10 mins can also be used to train a good VC model!,2023-03-27
44,artidoro/qlora,6814,Jupyter Notebook,QLoRA: Efficient Finetuning of Quantized LLMs,2023-05-11
45,Luodian/Otter,2176,Python,"🦦 Otter, a multi-modal model based on OpenFlamingo (open-sourced version of DeepMind's Flamingo), trained on MIMIC-IT and showcasing improved instruction-following and in-context learning ability.",2023-04-01
46,csunny/DB-GPT,5574,Python,Revolutionizing Database Interactions with Private LLM Technology,2023-04-13
47,f/awesome-chatgpt-prompts,84591,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
48,hwchase17/langchainjs,7308,TypeScript,,2023-02-06
49,Significant-Gravitas/Auto-GPT,144808,Python,An experimental open-source attempt to make GPT-4 fully autonomous.,2023-03-16
50,Lxtharia/minegrub-theme,2378,Python,A Grub Theme in the style of Minecraft!,2022-12-02
51,askrella/whatsapp-chatgpt,2812,TypeScript,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,2022-12-08
52,jdxcode/rtx,2641,Rust,Runtime Executor (asdf rust clone),2023-01-09
53,Blazity/next-enterprise,3964,TypeScript,"💼 An enterprise-grade Next.js boilerplate for high-performance, maintainable apps. Packed with features like Tailwind CSS, TypeScript, ESLint, Prettier, testing tools, and more to accelerate your development.",2023-04-21
54,twitter/the-algorithm,58835,Scala,Source code for Twitter's Recommendation Algorithm,2023-03-27
55,TabbyML/tabby,8997,TypeScript,Self-hosted AI coding assistant,2023-03-16
56,FlowiseAI/Flowise,11202,TypeScript,Drag & drop UI to build your customized LLM flow,2023-03-31
57,tiann/KernelSU,3890,Kotlin,A Kernel based root solution for Android,2022-12-09
58,ratatui-org/ratatui,2038,Rust,Rust library to build rich terminal user interfaces (TUIs) and dashboards,2023-02-12
59,GaiZhenbiao/ChuanhuChatGPT,11797,Python,GUI for ChatGPT API and many LLMs,2023-03-02
60,Mikubill/sd-webui-controlnet,11510,Python,WebUI extension for ControlNet,2023-02-12
61,camel-ai/camel,2641,Python,🐫 CAMEL: Communicative Agents for “Mind” Exploration of Large Scale Language Model Society,2023-03-17
62,mckaywrigley/chatbot-ui,16267,TypeScript,An open source ChatGPT UI.,2023-03-11
63,chatchat-space/langchain-ChatGLM,12548,Python,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答",2023-03-31
64,FreedomIntelligence/LLMZoo,2508,Python,"⚡LLM Zoo is a project that provides data, models, and evaluation benchmark for large language models.⚡",2023-04-01
