,full_name,stargazers_count,language,description,created_at
0,LAION-AI/Open-Assistant,20173,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
1,invoke-ai/InvokeAI,12552,Jupyter Notebook,"InvokeAI is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, supports terminal use through a CLI, and serves as the foundation for multiple commercial products.",2022-08-17
2,nomic-ai/gpt4all,12836,Python,"gpt4all: a chatbot trained on a massive collection of clean assistant data including code, stories and dialogue",2023-03-27
3,getcursor/cursor,10859,TypeScript,An editor made for programming with AI 🤖,2023-03-12
4,transitive-bullshit/chatgpt-api,12192,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
5,Chanzhaoyu/chatgpt-web,12814,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
6,THUDM/ChatGLM-6B,11327,Python,ChatGLM-6B：开源双语对话语言模型  | An Open Bilingual Dialogue Language Model,2023-03-13
7,AUTOMATIC1111/stable-diffusion-webui,56218,Python,Stable Diffusion web UI,2022-08-22
8,hwchase17/langchain,18294,Python,⚡ Building applications with LLMs through composability ⚡,2022-10-17
9,android/nowinandroid,10610,Kotlin,A fully functional Android app built entirely with Kotlin and Jetpack Compose,2022-04-19
10,openai/openai-cookbook,24179,Jupyter Notebook,Examples and guides for using the OpenAI API,2022-03-11
11,Grasscutters/Grasscutter,12839,Java,A server software reimplementation for a certain anime game.,2022-04-17
12,lensterxyz/lenster,18412,TypeScript,"Lenster is a decentralized, and permissionless social media app built with Lens Protocol 🌿 ",2022-03-19
13,binary-husky/chatgpt_academic,15034,Python,科研工作专用ChatGPT拓展，特别优化学术Paper润色体验，支持自定义快捷按钮，支持markdown表格显示，Tex公式双显示，代码显示功能完善，新增本地Python工程剖析功能/自我剖析功能,2023-03-20
14,ggerganov/llama.cpp,16002,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
15,toeverything/AFFiNE,13948,TypeScript," There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",2022-07-31
16,openai/chatgpt-retrieval-plugin,11922,Python,The ChatGPT Retrieval Plugin lets you easily search and find personal or work documents by asking questions in everyday language.,2023-03-23
17,f/awesome-chatgpt-prompts,57029,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
18,charliermarsh/ruff,11322,Rust,"An extremely fast Python linter, written in Rust.",2022-08-09
19,huggingface/diffusers,12540,Python,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,2022-05-30
