,full_name,stargazers_count,language,description,created_at
0,hahahumble/speechgpt,562,TypeScript,SpeechGPT is a web application that enables you to converse with ChatGPT.,2023-03-28
1,Project-DARC/DARC,484,Solidity,Decentralized Autonomous Regulated Company (DARC) is a virtual machine company that runs on any EVM-compatible blockchain. It features a built-in multi-token and plugin system.,2023-03-27
2,nomic-ai/gpt4all,12839,Python,"gpt4all: a chatbot trained on a massive collection of clean assistant data including code, stories and dialogue",2023-03-27
3,AetherCortex/Llama-X,511,Python,Open Academic Research on Improving LLaMA to SOTA LLM,2023-03-30
4,zema1/watchvuln,394,Go,一个高价值漏洞采集与推送服务 | A valueable vulnerability collection and push service,2023-03-25
5,visual-openllm/visual-openllm,497,Python,"something like visual-chatgpt, 文心一言的开源版",2023-03-26
6,lxfater/Portal,1482,TypeScript,,2023-03-26
7,HamburgChimps/apple-notes-liberator,720,Java,Free your Apple Notes data from Notes.app,2023-03-26
8,TaxyAI/browser-extension,2434,TypeScript,Automate your browser with GPT-4,2023-03-27
9,davincifans101/pinduoduo_backdoor_detailed_report,1002,,Maybe the most detailed analysis of pdd  backdoors,2023-03-27
