,full_name,stargazers_count,language,description,created_at
0,yetone/openai-translator,11310,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
1,mrsked/mrsk,4314,Ruby,Deploy web apps anywhere.,2023-01-07
2,ggerganov/llama.cpp,12790,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
3,xx025/carrot,4802,,这儿为你准备了众多免费好用的ChatGPT镜像站点，当前100+站点,2023-03-05
4,openai/chatgpt-retrieval-plugin,3900,Python,,2023-03-23
5,THUDM/ChatGLM-6B,8965,Python,ChatGLM-6B：开源双语对话语言模型  | An Open Bilingual Dialogue Language Model,2023-03-13
6,cocktailpeanut/dalai,5827,CSS,The simplest way to run LLaMA on your local machine,2023-03-12
7,tloen/alpaca-lora,5504,Jupyter Notebook,Instruct-tune LLaMA on consumer hardware,2023-03-13
8,yihong0618/bilingual_book_maker,4573,Python,Make bilingual epub books Using AI translate,2023-03-02
9,qunash/chatgpt-advanced,3368,TypeScript,WebChatGPT: A browser extension that augments your ChatGPT prompts with web results.,2022-12-03
10,GaiZhenbiao/ChuanhuChatGPT,5322,Python,GUI for ChatGPT API,2023-03-02
11,transitive-bullshit/chatgpt-api,11707,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
12,PlexPt/awesome-chatgpt-prompts-zh,20497,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
13,acheong08/ChatGPT,21912,Python,Reverse engineered ChatGPT API,2022-12-03
14,Nutlope/roomGPT,6035,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
15,dreamworksanimation/openmoonray,3202,CMake,,2023-03-14
16,kaixindelele/ChatPaper,3785,Python,Use ChatGPT to summarize the arXiv papers.,2023-03-08
17,Chanzhaoyu/chatgpt-web,9859,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
18,oobabooga/text-generation-webui,4158,Python,"A gradio web UI for running Large Language Models like GPT-J 6B, OPT, GALACTICA, LLaMA, and Pygmalion.",2022-12-21
19,dair-ai/Prompt-Engineering-Guide,16897,Jupyter Notebook,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",2022-12-16
20,openai/evals,6382,Python,Evals is a framework for evaluating OpenAI models and an open-source registry of benchmarks.,2023-01-23
21,f/awesome-chatgpt-prompts,50206,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
22,ddiu8081/chatgpt-demo,5218,TypeScript,A demo repo based on OpenAI API.,2023-03-02
23,BlinkDL/ChatRWKV,4023,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
24,comfyanonymous/ComfyUI,3438,Python,A powerful and modular stable diffusion GUI with a graph/nodes interface.,2023-01-17
25,microsoft/visual-chatgpt,25941,Python,"Official repo for the paper: Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models",2023-03-02
26,localsend/localsend,9303,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
27,acheong08/EdgeGPT,4506,Python,Reverse engineered API of Microsoft's Bing Chat AI,2023-02-09
28,lss233/chatgpt-mirai-qq-bot,3131,Python,🚀 一键部署！真正的 QQ 聊天机器人！支持ChatGPT API、 ChatGPT Plus、新版 Bing、Google Bard，多账号负载均衡，人设调教，敏感词检测，虚拟女仆、对话上下文，图片渲染，代理加速 (内有视频教程）| 还支持 OneBot、Telegram、Discord 等平台,2022-12-05
29,LAION-AI/Open-Assistant,19623,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
30,ServiceWeaver/weaver,3103,Go,Programming framework for writing and deploying cloud applications.,2023-01-04
31,immersive-translate/immersive-translate,4176,TypeScript,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
32,togethercomputer/OpenChatKit,6588,Python,,2023-03-03
33,natemoo-re/clack,3320,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
34,josStorer/chatGPTBox,3687,JavaScript,"Integrating ChatGPT into your browser deeply, everything you need is here",2023-03-15
35,google/comprehensive-rust,11064,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
36,Mikubill/sd-webui-controlnet,5293,Python,WebUI extension for ControlNet,2023-02-12
