,full_name,stargazers_count,language,description,created_at
0,Chanzhaoyu/chatgpt-web,5741,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
1,microsoft/visual-chatgpt,7277,Python,VisualChatGPT,2023-03-02
2,yetone/openai-translator,5600,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
3,yihong0618/bilingual_book_maker,3789,Python,Make bilingual epub books Using AI translate,2023-03-02
4,acheong08/ChatGPT,20630,Python,Reverse engineered ChatGPT API,2022-12-03
5,LAION-AI/Open-Assistant,18302,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
6,waylaidwanderer/node-chatgpt-api,2066,JavaScript,"A client implementation for ChatGPT and Bing AI. Available as a Node.js module, REST API server, and CLI app.",2023-01-07
7,fuergaosi233/wechat-chatgpt,9139,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
8,GaiZhenbiao/ChuanhuChatGPT,1696,Python,GUI for ChatGPT API,2023-03-02
9,lss233/chatgpt-mirai-qq-bot,2345,Python,🚀 一键部署！真正的 ChatGPT QQ 聊天机器人！支持ChatGPT API、 ChatGPT Plus、新版 Bing，多账号负载均衡，人设调教，敏感词检测，虚拟女仆、对话上下文，图片渲染，代理加速 (内有视频教程）,2022-12-05
10,ddiu8081/chatgpt-demo,3990,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
11,mukulpatnaik/researchgpt,1910,Python,An open-source LLM based research assistant that allows you to have a conversation with a research paper,2023-02-01
12,oobabooga/text-generation-webui,1883,Python,"A gradio web UI for running Large Language Models like GPT-J 6B, OPT, GALACTICA, LLaMA, and Pygmalion.",2022-12-21
13,hiifeng/V2ray-for-Doprax,5887,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
14,reorx/awesome-chatgpt-api,2910,,"Curated list of apps and tools that not only use the new ChatGPT API, but also allow users to configure their own API keys, enabling free and on-demand usage of their own quota.",2023-03-04
15,TBXark/ChatGPT-Telegram-Workers,1652,JavaScript,Deploy your own Telegram ChatGPT bot on Cloudflare Workers with ease.,2023-03-03
16,mmabrouk/chatgpt-wrapper,2196,Python,API for interacting with ChatGPT using Python and from Shell.,2022-12-03
17,activepieces/activepieces,1564,TypeScript,No-code Business Automation Tool. An open source alternative to Zapier.,2022-12-03
18,replicate/scribble-diffusion,1635,JavaScript,Turn your rough sketch into a refined image using AI,2023-02-13
19,lencx/ChatGPT,21027,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
20,askrella/whatsapp-chatgpt,2009,TypeScript,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,2022-12-08
21,mouredev/retos-programacion-2023,1694,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
22,dair-ai/Prompt-Engineering-Guide,12962,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
23,acheong08/EdgeGPT,2516,Python,Reverse engineered API of Microsoft's Bing Chat,2023-02-09
24,facebookresearch/llama,9722,Python,Inference code for LLaMA models,2023-02-14
25,qunash/chatgpt-advanced,2899,TypeScript,WebChatGPT: A browser extension that augments your ChatGPT prompts with web results.,2022-12-03
26,xiaye13579/BBLL,3474,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
27,iway1/react-ts-form,1774,TypeScript,,2022-12-25
28,Mikubill/sd-webui-controlnet,4458,Python,WebUI extension for ControlNet,2023-02-12
29,google/comprehensive-rust,10673,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
30,Nutlope/roomGPT,4874,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
31,karfly/chatgpt_telegram_bot,1583,Python,,2022-12-05
32,mouredev/hello-git,2045,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
33,emilkowalski/sonner,2001,TypeScript,An opinionated toast component for React.,2023-02-23
34,shadcn/ui,8829,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
35,cloudflare/wildebeest,1810,TypeScript,Wildebeest is an ActivityPub and Mastodon-compatible server,2022-12-21
36,jdxcode/rtx,1508,Rust,Runtime Executor (asdf rust clone),2023-01-09
37,transitive-bullshit/chatgpt-api,10805,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
38,ai-collection/ai-collection,2395,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
39,ServiceWeaver/weaver,2658,Go,Programming framework for writing and deploying cloud applications.,2023-01-04
40,mrsked/mrsk,3425,Ruby,Deploy web apps anywhere.,2023-01-07
