,full_name,stargazers_count,language,description,created_at
0,LAION-AI/Open-Assistant,17247,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
1,Mikubill/sd-webui-controlnet,3193,Python,WebUI extension for ControlNet,2023-02-12
2,f/awesome-chatgpt-prompts,32735,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
3,acheong08/ChatGPT,18974,Python,Reverse engineered ChatGPT API,2022-12-03
4,immersive-translate/immersive-translate,3104,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
5,DvorakDwarf/Infinite-Storage-Glitch,7480,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
6,PlexPt/awesome-chatgpt-prompts-zh,9645,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
7,krahets/hello-algo,8261,Java,"《Hello 算法》一本动画图解、能运行、可提问的数据结构与算法入门书，支持 Java, C++, Python, Go, JS, TS, C#, Swift, Zig 等语言。",2022-11-04
8,jerryjliu/gpt_index,4409,Python,LlamaIndex (GPT Index) is a project that provides a central interface to connect your LLM's with external data.,2022-11-02
9,google/osv-scanner,4582,Go,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,2022-11-14
10,jart/blink,4877,C,tiniest x86-64-linux emulator,2022-11-03
11,FMInference/FlexGen,5247,Python,Running large language models like OPT-175B/GPT-3 on a single GPU. Focusing on high-throughput generation.,2023-02-15
12,dair-ai/Prompt-Engineering-Guide,9289,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
13,google/comprehensive-rust,9535,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
14,localsend/localsend,7598,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
15,transitive-bullshit/chatgpt-api,9467,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
16,triggerdotdev/trigger.dev,3171,TypeScript,✨ Trigger.dev is an open-source platform that makes it easy for developers to create event-driven background tasks directly in their code.,2022-11-30
17,fathyb/carbonyl,11304,Rust,Chromium running inside your terminal,2023-01-20
18,wong2/chatgpt-google-extension,11045,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
19,shadcn/ui,8502,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
20,facebookresearch/llama,4169,Python,Inference code for LLaMA models,2023-02-14
21,lllyasviel/ControlNet,9127,Python,Let us control diffusion models!,2023-02-01
22,sourcegraph/conc,6055,Go,Better structured concurrency for go,2023-01-02
23,hiifeng/V2ray-for-Doprax,5156,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
24,lencx/ChatGPT,17779,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
25,dair-ai/ML-Papers-Explained,3059,,Explanation to key concepts in ML,2023-01-12
26,Kanaries/pygwalker,3446,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
27,karpathy/nanoGPT,14011,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
28,apple/ml-stable-diffusion,5619,Python,Stable Diffusion with Core ML on Apple Silicon,2022-11-16
29,total-typescript/ts-reset,3960,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
30,google-research/tuning_playbook,16611,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
31,openblocks-dev/openblocks,4178,TypeScript,🔥 🔥 🔥 The Open Source Retool Alternative,2022-11-14
32,LazyVim/LazyVim,3901,Lua,Neovim config for the lazy,2022-12-30
33,fuergaosi233/wechat-chatgpt,8595,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
34,folke/lazy.nvim,3356,Lua,💤 A modern plugin manager for Neovim,2022-11-20
35,book-searcher-org/book-searcher,4980,TypeScript,"Easy and fast book searcher, create and search your private library. Index metadata for over 10 million books in one minute as well as search in 30µs.",2022-11-24
36,lucidrains/PaLM-rlhf-pytorch,5462,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
37,vincelwt/chatgpt-mac,4191,JavaScript,"ChatGPT for Mac, living in your menubar.",2022-12-01
38,humanloop/awesome-chatgpt,5304,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
39,techiescamp/kubernetes-learning-path,4755,,A roadmap to learn Kubernetes from scratch (Beginner to Advanced level),2022-11-16
40,mpociot/chatgpt-vscode,3542,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
41,Stability-AI/stablediffusion,12384,Python,High-Resolution Image Synthesis with Latent Diffusion Models,2022-11-23
42,openai/point-e,4422,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
43,timothybrooks/instruct-pix2pix,3593,Python,,2023-01-09
44,xiaye13579/BBLL,3204,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
45,atelier-anchor/smiley-sans,10250,HTML,得意黑 Smiley Sans：一款在人文观感和几何特征中寻找平衡的中文黑体,2022-11-11
46,calistus-igwilo/nitda-blockchain-scholarship,3060,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
47,m1guelpf/chatgpt-telegram,3123,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
48,rawandahmad698/PyChatGPT,3520,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
