,full_name,stargazers_count,language,description,created_at
0,LAION-AI/Open-Assistant,4585,Jupyter Notebook,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
1,karpathy/nanoGPT,8798,Jupyter Notebook,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
2,lencx/ChatGPT,5555,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
3,krahets/hello-algo,6420,Java,"《Hello 算法》一本动画图解、能运行、可提问的数据结构与算法入门书。提供 Java, C++, Python, Go, JS, TS, C# 源代码。",2022-11-04
4,tw93/Pake,9583,Rust,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 很简单的用 Rust 打包网页生成很小的桌面 App,2022-10-14
5,hwchase17/langchain,3875,Python,⚡ Building applications with LLMs through composability ⚡,2022-10-17
6,transitive-bullshit/chatgpt-api,5516,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
7,google/comprehensive-rust,6725,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
8,humanloop/awesome-chatgpt,4220,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
9,jart/blink,4029,C,tiniest x86-64-linux emulator,2022-11-03
10,openblocks-dev/openblocks,3953,TypeScript,🔥 🔥 🔥 The Open Source Retool Alternative,2022-11-14
11,f/awesome-chatgpt-prompts,16932,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
12,book-searcher-org/book-searcher,4737,TypeScript,"Create and search books index, create your private library.",2022-11-24
13,google-research/tuning_playbook,5744,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
14,google/osv-scanner,4293,Go,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,2022-11-14
15,lucidrains/PaLM-rlhf-pytorch,4499,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
16,score-spec/spec,7406,,The Score Specification provides a developer-centric and platform-agnostic Workload specification to improve developer productivity and experience. It eliminates configuration inconsistencies between environments.,2022-10-31
17,vincelwt/chatgpt-mac,3094,JavaScript,"ChatGPT for Mac, living in your menubar.",2022-12-01
18,Stability-AI/stablediffusion,10091,Python,High-Resolution Image Synthesis with Latent Diffusion Models,2022-11-23
19,wong2/chat-gpt-google-extension,8712,SCSS,A browser extension to display ChatGPT response alongside search engine results,2022-12-04
20,sourcegraph/conc,4748,Go,Better structured concurrency for go,2023-01-02
21,acheong08/ChatGPT,9817,Python,Lightweight package for interacting with ChatGPT's API by OpenAI. Uses reverse engineered official API.,2022-12-03
22,milanm/DevOps-Roadmap,3927,,DevOps Roadmap for 2022. with learning resources,2022-10-23
23,fuergaosi233/wechat-chatgpt,5384,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
24,calistus-igwilo/nitda-blockchain-scholarship,3047,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
25,apple/ml-stable-diffusion,5044,Python,Stable Diffusion with Core ML on Apple Silicon,2022-11-16
26,atelier-anchor/smiley-sans,9667,HTML,得意黑 Smiley Sans：一款在人文观感和几何特征中寻找平衡的中文黑体,2022-11-11
27,openai/point-e,4027,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
28,shadcn/taxonomy,3865,TypeScript,"An open source application built using the new router, server components and everything new in Next.js 13.",2022-10-18
29,ashawkey/stable-dreamfusion,3598,Python,"A pytorch implementation of text-to-3D dreamfusion, powered by stable diffusion.",2022-10-06
30,mli/autocut,3439,Python,用文本编辑器剪视频,2022-10-28
