,full_name,stargazers_count,language,description,created_at
0,Chanzhaoyu/chatgpt-web,5283,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
1,total-typescript/ts-reset,4746,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
2,LAION-AI/Open-Assistant,18200,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
3,wong2/chatgpt-google-extension,11475,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
4,Mikubill/sd-webui-controlnet,4331,Python,WebUI extension for ControlNet,2023-02-12
5,FMInference/FlexGen,6473,Python,Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15
6,f/awesome-chatgpt-prompts,39905,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
7,transitive-bullshit/chatgpt-api,10679,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
8,ddiu8081/chatgpt-demo,3785,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
9,yihong0618/bilingual_book_maker,3493,Python,Make bilingual epub books Using AI translate,2023-03-02
10,Kanaries/pygwalker,4353,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
11,humanloop/awesome-chatgpt,5673,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
12,yetone/openai-translator,3385,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用,2023-03-04
13,acheong08/ChatGPT,20417,Python,Reverse engineered ChatGPT API,2022-12-03
14,immersive-translate/immersive-translate,3432,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
15,lencx/ChatGPT,20604,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
16,arc53/DocsGPT,3062,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
17,google/comprehensive-rust,10629,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
18,facebookresearch/llama,9230,Python,Inference code for LLaMA models,2023-02-14
19,mrsked/mrsk,3266,Ruby,Deploy web apps anywhere.,2023-01-07
20,shadcn/ui,8791,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
21,google-research/tuning_playbook,17102,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
22,memochou1993/gpt-ai-assistant,3929,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
23,yetone/bob-plugin-openai-translator,3202,JavaScript,基于 ChatGPT API 的文本翻译、文本润色、语法纠错 Bob 插件，让我们一起迎接不需要巴别塔的新时代！,2023-02-19
24,BlinkDL/ChatRWKV,3101,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
25,dair-ai/Prompt-Engineering-Guide,12598,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
26,Nutlope/aicommits,3689,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
27,lllyasviel/ControlNet,12449,Python,Let us control diffusion models!,2023-02-01
28,karpathy/nanoGPT,14490,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
29,Nutlope/roomGPT,4660,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
30,localsend/localsend,8425,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
31,natemoo-re/clack,3147,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
32,sourcegraph/conc,6241,Go,Better structured concurrency for go,2023-01-02
33,PlexPt/awesome-chatgpt-prompts-zh,13116,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
34,hiifeng/V2ray-for-Doprax,5778,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
35,LazyVim/LazyVim,4129,Lua,Neovim config for the lazy,2022-12-30
36,m1guelpf/chatgpt-telegram,3274,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
37,DvorakDwarf/Infinite-Storage-Glitch,8511,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
38,lucidrains/PaLM-rlhf-pytorch,5597,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
39,xiaye13579/BBLL,3402,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
40,fuergaosi233/wechat-chatgpt,9055,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
41,AutumnWhj/ChatGPT-wechat-bot,3109,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
42,dair-ai/ML-Papers-Explained,3167,,Explanation to key concepts in ML,2023-01-12
43,fathyb/carbonyl,11546,Rust,Chromium running inside your terminal,2023-01-20
44,mpociot/chatgpt-vscode,3666,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
45,openai/point-e,4585,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
46,timothybrooks/instruct-pix2pix,3681,Python,,2023-01-09
47,calistus-igwilo/nitda-blockchain-scholarship,3062,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
48,rawandahmad698/PyChatGPT,3640,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
