,full_name,stargazers_count,language,description,created_at
0,emilkowalski/sonner,1968,TypeScript,An opinionated toast component for React.,2023-02-23
1,Chanzhaoyu/chatgpt-web,5283,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
2,total-typescript/ts-reset,4746,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
3,LAION-AI/Open-Assistant,18200,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
4,Nutlope/aicommits,3690,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
5,wong2/chatgpt-google-extension,11475,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
6,reorx/awesome-chatgpt-api,2502,,"Curated list of apps and tools that not only use the new ChatGPT API, but also allow users to configure their own API keys, enabling free and on-demand usage of their own quota.",2023-03-04
7,Mikubill/sd-webui-controlnet,4331,Python,WebUI extension for ControlNet,2023-02-12
8,FMInference/FlexGen,6473,Python,Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15
9,f/awesome-chatgpt-prompts,39905,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
10,transitive-bullshit/chatgpt-api,10679,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
11,ddiu8081/chatgpt-demo,3785,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
12,yihong0618/bilingual_book_maker,3493,Python,Make bilingual epub books Using AI translate,2023-03-02
13,Kanaries/pygwalker,4353,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
14,humanloop/awesome-chatgpt,5673,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
15,AbdullahAlfaraj/Auto-Photoshop-StableDiffusion-Plugin,2225,JavaScript,A user-friendly plug-in that makes it easy to generate stable diffusion images inside Photoshop using Automatic1111-sd-webui as a backend. ,2022-12-20
16,yetone/openai-translator,3385,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用,2023-03-04
17,davinci1010/pinduoduo_backdoor,1787,,拼多多apk内嵌提权代码，及动态下发dex分析,2023-03-07
18,waylaidwanderer/node-chatgpt-api,2009,JavaScript,"A client implementation for ChatGPT and Bing AI. Available as a Node.js module, REST API server, and CLI app.",2023-01-07
19,iway1/react-ts-form,1762,TypeScript,,2022-12-25
20,acheong08/ChatGPT,20417,Python,Reverse engineered ChatGPT API,2022-12-03
21,TheR1D/shell_gpt,1897,Python,"A command-line productivity tool powered by ChatGPT, will help you accomplish your tasks faster and more efficiently.",2023-01-18
22,lss233/chatgpt-mirai-qq-bot,2226,Python,🚀 一键部署！真正的 ChatGPT QQ 聊天机器人！支持ChatGPT API、 ChatGPT Plus、新版 Bing，多账号负载均衡，人设调教，敏感词检测，虚拟女仆、对话上下文，图片渲染，代理加速 (内有视频教程）,2022-12-05
23,ServiceWeaver/weaver,2473,Go,Programming framework for writing and deploying cloud applications.,2023-01-04
24,immersive-translate/immersive-translate,3432,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
25,mmabrouk/chatgpt-wrapper,2166,Python,API for interacting with ChatGPT using Python and from Shell.,2022-12-03
26,shawwn/llama-dl,1707,Shell,"High-speed download of LLaMA, Facebook's 65B parameter GPT model",2023-03-05
27,guaguaguaxia/weekly_report,2495,CSS,,2023-02-09
28,AmbientRun/Ambient,2739,Rust,The multiplayer game engine,2022-12-19
29,activepieces/activepieces,1540,TypeScript,No-code Business Automation Tool. An open source alternative to Zapier.,2022-12-03
30,lencx/ChatGPT,20604,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
31,mouredev/retos-programacion-2023,1682,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
32,mouredev/hello-git,2017,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
33,qunash/chatgpt-advanced,2757,TypeScript,WebChatGPT: A browser extension that augments your ChatGPT prompts with web results.,2022-12-03
34,tiann/KernelSU,1715,C,A Kernel based root solution for Android,2022-12-09
35,arc53/DocsGPT,3062,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
36,google/comprehensive-rust,10629,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
37,facebookresearch/llama,9230,Python,Inference code for LLaMA models,2023-02-14
38,mjl-/mox,2380,Go,modern full-featured open source secure mail server for low-maintenance self-hosted email,2023-01-30
39,amazon-science/mm-cot,2929,Python,"Official implementation for ""Multimodal Chain-of-Thought Reasoning in Language Models"" (stay tuned and more will be updated)",2023-02-02
40,howl-anderson/unlocking-the-power-of-llms,1616,Shell,使用 Prompts 和 Chains 让 ChatGPT 成为神奇的生产力工具！Unlocking the power of LLMs. Facebook (Meta)  的 LLaMA 模型（235GB）- 百度网盘下载,2023-02-16
41,m-bain/whisperX,1919,Python,WhisperX:  Automatic Speech Recognition with Word-level Timestamps (& Diarization),2022-12-09
42,Haxxnet/Compose-Examples,2853,,Various Docker Compose examples of selfhosted FOSS and proprietary projects.,2023-02-13
43,cloudflare/wildebeest,1801,TypeScript,Wildebeest is an ActivityPub and Mastodon-compatible server,2022-12-21
44,mrsked/mrsk,3266,Ruby,Deploy web apps anywhere.,2023-01-07
45,shadcn/ui,8791,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
46,google-research/tuning_playbook,17102,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
47,memochou1993/gpt-ai-assistant,3929,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
48,yetone/bob-plugin-openai-translator,3202,JavaScript,基于 ChatGPT API 的文本翻译、文本润色、语法纠错 Bob 插件，让我们一起迎接不需要巴别塔的新时代！,2023-02-19
49,BlinkDL/ChatRWKV,3101,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
50,mukulpatnaik/researchgpt,1808,Python,An open-source LLM based research assistant that allows you to have a conversation with a research paper,2023-02-01
51,dair-ai/Prompt-Engineering-Guide,12598,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
52,lllyasviel/ControlNet,12449,Python,Let us control diffusion models!,2023-02-01
53,karpathy/nanoGPT,14490,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
54,Nutlope/restorePhotos,2516,TypeScript,Restoring old and blurry face photos with AI.,2023-01-08
55,Nutlope/roomGPT,4660,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
56,askrella/whatsapp-chatgpt,1983,TypeScript,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,2022-12-08
57,localsend/localsend,8425,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
58,natemoo-re/clack,3147,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
59,steven-tey/precedent,2129,TypeScript,"An opinionated collection of components, hooks, and utilities for your Next.js project.",2023-01-13
60,ai-collection/ai-collection,2382,,The Generative AI Landscape - A Collection of Awesome Generative AI Applications,2023-01-03
61,Mokshit06/typewind,1913,TypeScript,The safety of Typescript with the magic of Tailwind.,2023-01-17
62,gofireflyio/aiac,1796,Go,Artificial Intelligence Infrastructure-as-Code Generator.,2022-12-07
63,vastsa/FileCodeBox,1588,Python,"文件快递柜-匿名口令分享文本，文件，像拿快递一样取文件（File Express Cabinet - Anonymous Passcode Sharing Text, Files, Like Taking Express Delivery for Files）",2022-12-09
64,skydoves/chatgpt-android,2020,Kotlin,📲 ChatGPT Android demonstrates OpenAI's ChatGPT on Android with Stream Chat SDK for Compose.,2022-12-09
65,amitshekhariitbhu/go-backend-clean-architecture,2202,Go,"A Go (Golang) Backend Clean Architecture project with Gin, MongoDB, JWT Authentication Middleware, Test, and Docker.",2023-01-08
66,sourcegraph/conc,6241,Go,Better structured concurrency for go,2023-01-02
67,PlexPt/awesome-chatgpt-prompts-zh,13116,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
68,shobrook/adrenaline,1716,JavaScript,An AI-powered debugger,2022-12-07
69,youshandefeiyang/IPTV,2436,Go,肥羊的4K/8K超高清IPTV直播源&&直播代码仓库,2022-12-25
70,JusticeRage/Gepetto,1964,Python,IDA plugin which queries OpenAI's gpt-3.5-turbo language model to speed up reverse-engineering,2022-12-04
71,replicate/scribble-diffusion,1540,JavaScript,Turn your rough sketch into a refined image using AI,2023-02-13
72,hiifeng/V2ray-for-Doprax,5778,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
73,lucidrains/musiclm-pytorch,1667,Python,"Implementation of MusicLM, Google's new SOTA model for music generation using attention networks, in Pytorch",2023-01-27
74,LazyVim/LazyVim,4129,Lua,Neovim config for the lazy,2022-12-30
75,m1guelpf/chatgpt-telegram,3274,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
76,ErickWendel/semana-javascript-expert07,2408,JavaScript,JS Expert Week 7.0 - 🙅🤏🏻 Controlling Streaming Platforms using Eye and Hand Detection 👁🖐,2023-02-26
77,DvorakDwarf/Infinite-Storage-Glitch,8511,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
78,acheong08/EdgeGPT,2471,Python,Reverse engineered API of Microsoft's Bing Chat,2023-02-09
79,lucidrains/PaLM-rlhf-pytorch,5597,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
80,xiaye13579/BBLL,3402,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
81,cloneofsimo/lora,2501,Jupyter Notebook,Using Low-rank adaptation to quickly fine-tune diffusion models.,2022-12-08
82,TheAppleTucker/backend-GPT,2662,JavaScript,,2023-01-21
83,varunshenoy/GraphGPT,2734,JavaScript,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,2023-01-31
84,fuergaosi233/wechat-chatgpt,9055,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
