,full_name,stargazers_count,language,description,created_at
0,huggingface/diffusers,11986,Python,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,2022-05-30
1,yetone/openai-translator,10300,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
2,AUTOMATIC1111/stable-diffusion-webui,50840,Python,Stable Diffusion web UI,2022-08-22
3,Stability-AI/stablediffusion,14737,Python,High-Resolution Image Synthesis with Latent Diffusion Models,2022-11-23
4,lensterxyz/lenster,16493,TypeScript,"Lenster is a decentralized, and permissionless social media app built with Lens Protocol 🌿 ",2022-03-19
5,LAION-AI/Open-Assistant,19267,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
6,hwchase17/langchain,12856,Python,⚡ Building applications with LLMs through composability ⚡,2022-10-17
7,toeverything/AFFiNE,13748,TypeScript," There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",2022-07-31
8,charliermarsh/ruff,10982,Rust,"An extremely fast Python linter, written in Rust.",2022-08-09
9,samber/lo,10551,Go,"💥  A Lodash-style Go library based on Go 1.18+ Generics (map, filter, contains, find...)",2022-03-02
10,terrastruct/d2,11372,Go,D2 is a modern diagram scripting language that turns text to diagrams.,2022-09-05
11,PlexPt/awesome-chatgpt-prompts-zh,17681,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
12,dair-ai/Prompt-Engineering-Guide,15272,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
13,CodeEditApp/CodeEdit,17032,Swift,"CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2022-03-10
14,ggerganov/llama.cpp,11131,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
15,openai/openai-cookbook,20368,Jupyter Notebook,Examples and guides for using the OpenAI API,2022-03-11
16,transitive-bullshit/chatgpt-api,11480,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
17,tatsu-lab/stanford_alpaca,11529,Python,"Code and documentation to train Stanford's Alpaca models, and generate the data.",2023-03-10
18,charmbracelet/gum,12508,Go,A tool for glamorous shell scripts 🎀,2022-06-10
19,google/comprehensive-rust,11019,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
20,openai/whisper,28985,Python,Robust Speech Recognition via Large-Scale Weak Supervision,2022-09-16
21,motion-canvas/motion-canvas,10173,TypeScript,Visualize Complex Ideas Programmatically,2022-08-03
22,f/awesome-chatgpt-prompts,47035,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
23,t3-oss/create-t3-app,15584,TypeScript,"The best way to start a full-stack, typesafe Next.js app ",2022-05-24
24,facebookresearch/llama,12886,Python,Inference code for LLaMA models,2023-02-14
25,invoke-ai/InvokeAI,12069,Jupyter Notebook,"InvokeAI is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, supports terminal use through a CLI, and serves as the foundation for multiple commercial products.",2022-08-17
26,karpathy/nanoGPT,15645,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
27,microsoft/visual-chatgpt,23943,Python,"Official repo for the paper: Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models",2023-03-02
28,lencx/ChatGPT,24026,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
29,lllyasviel/ControlNet,14457,Python,Let us control diffusion models!,2023-02-01
30,pocketbase/pocketbase,21908,Go,Open Source realtime backend in 1 file,2022-07-05
31,karanpratapsingh/system-design,14979,,Learn how to design systems at scale and prepare for system design interviews,2022-08-15
32,acheong08/ChatGPT,21545,Python,Reverse engineered ChatGPT API,2022-12-03
33,upscayl/upscayl,10620,TypeScript,"🆙 Upscayl - Free and Open Source AI Image Upscaler for Linux, MacOS and Windows built with Linux-First philosophy.",2022-07-30
34,tw93/Pake,12508,Rust,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 很简单的用 Rust 打包网页生成很小的桌面 App,2022-10-14
35,ggerganov/whisper.cpp,12005,C,Port of OpenAI's Whisper model in C/C++,2022-09-25
36,android/nowinandroid,10450,Kotlin,A fully functional Android app built entirely with Kotlin and Jetpack Compose,2022-04-19
37,google-research/tuning_playbook,17547,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
38,sismo-core/sismo-protocol,16179,TypeScript,Contracts of the Sismo Attestation Protocol ,2022-06-16
39,base-org/node,19537,Shell,Everything required to run your own Base node,2023-02-01
40,bloomberg/memray,10259,Python,Memray is a memory profiler for Python,2022-04-08
41,CompVis/stable-diffusion,46670,Jupyter Notebook,A latent text-to-image diffusion model,2022-08-10
42,Grasscutters/Grasscutter,12770,Java,A server software reimplementation for a certain anime game.,2022-04-17
43,NVIDIA/open-gpu-kernel-modules,12953,C,NVIDIA Linux open GPU kernel module source,2022-05-02
44,wong2/chatgpt-google-extension,12203,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
45,WeNeedHome/SummaryOfLoanSuspension,20260,HTML,全国各省市停贷通知汇总,2022-07-12
46,fathyb/carbonyl,11669,Rust,Chromium running inside your terminal,2023-01-20
47,InterviewReady/system-design-resources,10006,,These are the best resources for System Design on the Internet,2022-05-19
48,atelier-anchor/smiley-sans,10664,HTML,得意黑 Smiley Sans：一款在人文观感和几何特征中寻找平衡的中文黑体,2022-11-11
49,The-Run-Philosophy-Organization/run,25424,,润学全球官方指定GITHUB，整理润学宗旨、纲领、理论和各类润之实例；解决为什么润，润去哪里，怎么润三大问题； 并成为新中国人的核心宗教，核心信念。,2022-04-10
50,geekan/HowToLiveLonger,22099,,程序员延寿指南 | A programmer's guide to live longer,2022-04-16
