,full_name,stargazers_count,language,description,created_at
0,Stability-AI/generative-models,3208,Python,Generative Models by Stability AI,2023-06-22
1,karpathy/llama2.c,6643,Python,Inference Llama 2 in one file of pure C,2023-07-23
2,chat2db/Chat2DB,5730,Java,🔥 🔥 🔥 An intelligent and versatile general-purpose SQL client and reporting tool for databases which integrates ChatGPT capabilities.(智能的通用数据库SQL客户端和报表工具),2023-06-20
3,sunner/ChatALL,8321,JavaScript," Concurrently chat with ChatGPT, Bing Chat, Bard, Alpaca, Vicuna, Claude, ChatGLM, MOSS, 讯飞星火, 文心一言 and more, discover the best answers",2023-04-08
4,Tohrusky/Final2x,3003,TypeScript,2^x Image Super-Resolution ☢️,2023-06-19
5,StanGirard/quivr,18581,TypeScript,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 ",2023-05-12
6,datawhalechina/prompt-engineering-for-developers,5691,Jupyter Notebook,吴恩达大模型系列课程中文版，包括《Prompt Engineering》、《Building System》和《LangChain》,2023-04-28
7,TransformerOptimus/SuperAGI,10846,Python,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.",2023-05-13
8,langgenius/dify,5730,TypeScript,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications.",2023-04-12
9,PromtEngineer/localGPT,12969,Python,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,2023-05-24
10,Shaunwei/RealChar,4070,Swift,"🎙️🤖Create, Customize and Talk to your AI Character/Companion in Realtime (All in One Codebase!). Have a natural seamless conversation with AI everywhere (mobile, web and terminal) using LLM OpenAI GPT3.5/4, Anthropic Claude2, Chroma Vector DB, Whisper Speech2Text, ElevenLabs Text2Speech🎙️🤖",2023-06-26
11,csunny/DB-GPT,5591,Python,Revolutionizing Database Interactions with Private LLM Technology,2023-04-13
12,bentoml/OpenLLM,5276,Python,Operating LLMs in production,2023-04-19
13,gventuri/pandas-ai,7958,Python,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational",2023-04-22
14,xiangsx/gpt4free-ts,6201,TypeScript,Providing a free OpenAI GPT-4 API !   This is a replication project for the typescript version of xtekky/gpt4free,2023-05-04
15,Significant-Gravitas/Auto-GPT-Plugins,3431,Python,Plugins for Auto-GPT,2023-04-09
16,THUDM/ChatGLM2-6B,10128,Python,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型,2023-06-24
17,ramonvc/freegpt-webui,3989,Python,GPT 3.5/4 with a Chat Web UI. No API key required.,2023-06-04
18,geekan/MetaGPT,6255,Python,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo",2023-06-30
