,full_name,stargazers_count,language,description,created_at
0,google/comprehensive-rust,10761,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
1,GaiZhenbiao/ChuanhuChatGPT,2142,Python,GUI for ChatGPT API,2023-03-02
2,openai/evals,3240,Python,Evals is a framework for evaluating OpenAI models and an open-source registry of benchmarks.,2023-01-23
3,natemoo-re/clack,3251,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
4,futantan/OpenGpt,1821,TypeScript,Create your own ChatGPT App in seconds.,2023-03-03
5,BlinkDL/ChatRWKV,3378,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
6,yetone/openai-translator,8160,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
7,lss233/chatgpt-mirai-qq-bot,2555,Python,🚀 一键部署！真正的 ChatGPT QQ 聊天机器人！支持ChatGPT API、 ChatGPT Plus、新版 Bing，多账号负载均衡，人设调教，敏感词检测，虚拟女仆、对话上下文，图片渲染，代理加速 (内有视频教程）,2022-12-05
8,TBXark/ChatGPT-Telegram-Workers,1831,JavaScript,Deploy your own Telegram ChatGPT bot on Cloudflare Workers with ease.,2023-03-03
9,JimmyLv/BibiGPT,1591,TypeScript,"BibiGPT · One-click summary for video &  audio content: Bilibili | YouTube | Websites丨Podcasts | Meetings | Local files, etc. 音视频内容一键总结：哔哩哔哩丨YouTube丨网页丨播客丨会议丨本地文件等 (原 BiliGPT 省流神器 & 课代表)",2023-02-26
10,PlexPt/awesome-chatgpt-prompts-zh,14689,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
11,acheong08/EdgeGPT,2770,Python,Reverse engineered API of Microsoft's Bing Chat,2023-02-09
12,THUDM/ChatGLM-6B,2281,Python,ChatGLM-6B：开源双语对话语言模型,2023-03-13
13,kaixindelele/ChatPaper,1614,Python,Use ChatGPT to summarize the arXiv papers.,2023-03-08
14,Mikubill/sd-webui-controlnet,4734,Python,WebUI extension for ControlNet,2023-02-12
15,karfly/chatgpt_telegram_bot,1730,Python,,2022-12-05
16,pgrok/pgrok,1558,Go,Poor man's ngrok - a multi-tenant HTTP reverse tunnel solution through SSH remote port forwarding,2023-03-08
17,f/awesome-chatgpt-prompts,42575,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
18,FMInference/FlexGen,6733,Python,Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15
19,microsoft/visual-chatgpt,20239,Python,"Official repo for the paper: Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models",2023-03-02
20,cocktailpeanut/dalai,1651,JavaScript,The simplest way to run LLaMA on your local machine,2023-03-12
21,ggerganov/llama.cpp,6919,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
22,facebookresearch/llama,11250,Python,Inference code for LLaMA models,2023-02-14
23,LAION-AI/Open-Assistant,18667,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
24,acheong08/ChatGPT,20980,Python,Reverse engineered ChatGPT API,2022-12-03
25,togethercomputer/OpenChatKit,4222,Python,,2023-03-03
26,tatsu-lab/stanford_alpaca,5599,Python,"Code and documentation to train Stanford's Alpaca models, and generate the data.",2023-03-10
27,fuergaosi233/wechat-chatgpt,9368,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
28,transitive-bullshit/chatgpt-api,11053,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
29,activepieces/activepieces,1613,TypeScript,No-code Business Automation Tool. An open source alternative to Zapier.,2022-12-03
30,arc53/DocsGPT,3457,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
31,askrella/whatsapp-chatgpt,2047,TypeScript,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,2022-12-08
32,yihong0618/bilingual_book_maker,4149,Python,Make bilingual epub books Using AI translate,2023-03-02
33,Chanzhaoyu/chatgpt-web,6621,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
34,AbdullahAlfaraj/Auto-Photoshop-StableDiffusion-Plugin,2534,JavaScript,A user-friendly plug-in that makes it easy to generate stable diffusion images inside Photoshop using Automatic1111-sd-webui as a backend. ,2022-12-20
35,yihong0618/xiaogpt,1635,Python,Play ChatGPT with xiaomi ai speaker,2023-02-16
36,ddiu8081/chatgpt-demo,4362,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
37,mouredev/retos-programacion-2023,1769,Python,Ejercicios de código semanales en 2023 de la comunidad MoureDev para practicar lógica en cualquier lenguaje de programación.,2022-12-22
38,humanloop/awesome-chatgpt,5855,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
39,AutumnWhj/ChatGPT-wechat-bot,3171,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
40,base-org/node,15013,Shell,Everything required to run your own Base node,2023-02-01
41,jdxcode/rtx,1559,Rust,Runtime Executor (asdf rust clone),2023-01-09
42,ServiceWeaver/weaver,2921,Go,Programming framework for writing and deploying cloud applications.,2023-01-04
43,mrsked/mrsk,3559,Ruby,Deploy web apps anywhere.,2023-01-07
44,mukulpatnaik/researchgpt,2064,Python,An open-source LLM based research assistant that allows you to have a conversation with a research paper,2023-02-01
45,mouredev/hello-git,2098,,Curso para aprender a trabajar con el sistema de control de versiones Git y la plataforma GitHub desde cero y para principiantes. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,2023-01-04
46,mmabrouk/chatgpt-wrapper,2284,Python,API for interacting with ChatGPT and GPT4 using Python and from Shell.,2022-12-03
47,qunash/chatgpt-advanced,3083,TypeScript,WebChatGPT: A browser extension that augments your ChatGPT prompts with web results.,2022-12-03
48,LazyVim/LazyVim,4228,Lua,Neovim config for the lazy,2022-12-30
49,lllyasviel/ControlNet,13673,Python,Let us control diffusion models!,2023-02-01
50,waylaidwanderer/node-chatgpt-api,2186,JavaScript,"A client implementation for ChatGPT and Bing AI. Available as a Node.js module, REST API server, and CLI app.",2023-01-07
51,iway1/react-ts-form,1794,TypeScript,,2022-12-25
52,oobabooga/text-generation-webui,2957,Python,"A gradio web UI for running Large Language Models like GPT-J 6B, OPT, GALACTICA, LLaMA, and Pygmalion.",2022-12-21
