,full_name,stargazers_count,language,description,created_at
0,f/awesome-chatgpt-prompts,41585,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
1,Mikubill/sd-webui-controlnet,4595,Python,WebUI extension for ControlNet,2023-02-12
2,yetone/openai-translator,7303,TypeScript,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,2023-03-04
3,Chanzhaoyu/chatgpt-web,6096,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
4,Kanaries/pygwalker,4459,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
5,ggerganov/llama.cpp,3621,C,Port of Facebook's LLaMA model in C/C++,2023-03-10
6,yihong0618/bilingual_book_maker,3988,Python,Make bilingual epub books Using AI translate,2023-03-02
7,base-org/node,6261,Shell,Everything required to run your own Base node,2023-02-01
8,lucidrains/PaLM-rlhf-pytorch,5661,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
9,arc53/DocsGPT,3295,Python,GPT-powered chat for documentation search & assistance.,2023-02-02
10,LAION-AI/Open-Assistant,18452,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
11,microsoft/visual-chatgpt,15873,Python,"Official repo for the paper: Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models",2023-03-02
12,ddiu8081/chatgpt-demo,4172,TypeScript,A demo repo based on OpenAI API (gpt-3.5-turbo),2023-03-02
13,Nutlope/roomGPT,5104,TypeScript,Upload a photo of your room to generate your dream room with AI.,2023-02-21
14,immersive-translate/immersive-translate,3577,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
15,LazyVim/LazyVim,4190,Lua,Neovim config for the lazy,2022-12-30
16,dair-ai/Prompt-Engineering-Guide,13225,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
17,karpathy/nanoGPT,14638,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
18,google/comprehensive-rust,10696,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
19,transitive-bullshit/chatgpt-api,10921,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
20,facebookresearch/llama,10292,Python,Inference code for LLaMA models,2023-02-14
21,fuergaosi233/wechat-chatgpt,9248,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
22,acheong08/ChatGPT,20771,Python,Reverse engineered ChatGPT API,2022-12-03
23,mrsked/mrsk,3468,Ruby,Deploy web apps anywhere.,2023-01-07
24,reorx/awesome-chatgpt-api,3051,Python,"Curated list of apps and tools that not only use the new ChatGPT API, but also allow users to configure their own API keys, enabling free and on-demand usage of their own quota.",2023-03-04
25,lllyasviel/ControlNet,13285,Python,Let us control diffusion models!,2023-02-01
26,BlinkDL/ChatRWKV,3284,Python,"ChatRWKV is like ChatGPT but powered by RWKV (100% RNN) language model, and open source.",2023-01-13
27,humanloop/awesome-chatgpt,5803,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
28,yetone/bob-plugin-openai-translator,3536,JavaScript,基于 ChatGPT API 的文本翻译、文本润色、语法纠错 Bob 插件，让我们一起迎接不需要巴别塔的新时代！,2023-02-19
29,memochou1993/gpt-ai-assistant,4124,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
30,hiifeng/V2ray-for-Doprax,6038,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
31,lencx/ChatGPT,21478,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
32,xiaye13579/BBLL,3545,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
33,shadcn/ui,8874,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
34,total-typescript/ts-reset,4858,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
35,PlexPt/awesome-chatgpt-prompts-zh,14096,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
36,davinci1010/pinduoduo_backdoor,3561,,拼多多apk内嵌提权代码，及动态下发dex分析,2023-03-07
37,Nutlope/aicommits,3851,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
38,natemoo-re/clack,3201,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
39,DvorakDwarf/Infinite-Storage-Glitch,8779,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
40,wong2/chatgpt-google-extension,11800,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
41,FMInference/FlexGen,6601,Python,Running large language models on a single GPU for throughput-oriented scenarios.,2023-02-15
42,google-research/tuning_playbook,17303,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
43,sourcegraph/conc,6292,Go,Better structured concurrency for go,2023-01-02
44,m1guelpf/chatgpt-telegram,3314,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
45,AutumnWhj/ChatGPT-wechat-bot,3152,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
46,dair-ai/ML-Papers-Explained,3766,,Explanation to key concepts in ML,2023-01-12
47,fathyb/carbonyl,11592,Rust,Chromium running inside your terminal,2023-01-20
48,mpociot/chatgpt-vscode,3712,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
49,openai/point-e,4631,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
50,timothybrooks/instruct-pix2pix,3744,Python,,2023-01-09
51,calistus-igwilo/nitda-blockchain-scholarship,3062,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
52,rawandahmad698/PyChatGPT,3658,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
