,full_name,stargazers_count,language,description,created_at
0,transitive-bullshit/chatgpt-api,8834,TypeScript,Node.js client for the unofficial ChatGPT API. 🔥,2022-12-03
1,PlexPt/awesome-chatgpt-prompts-zh,7784,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
2,acheong08/ChatGPT,17477,Python,Reverse engineered ChatGPT API,2022-12-03
3,jerryjliu/gpt_index,3985,Python,GPT Index (LlamaIndex) is a project consisting of a set of data structures designed to make it easier to use large external knowledge bases with LLMs.,2022-11-02
4,google/comprehensive-rust,9249,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
5,dair-ai/Prompt-Engineering-Guide,3199,Jupyter Notebook,":octopus: Guides, papers, and resources for prompt engineering",2022-12-16
6,LAION-AI/Open-Assistant,16269,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
7,shadcn/ui,8289,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
8,lllyasviel/ControlNet,4242,Python,Let us control diffusion models,2023-02-01
9,krahets/hello-algo,8101,Java,"《Hello 算法》一本动画图解、能运行、可提问的数据结构与算法入门书，支持 Java, C++, Python, Go, JS, TS, C#, Swift, Zig 等语言。",2022-11-04
10,localsend/localsend,6243,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
11,jart/blink,4825,C,tiniest x86-64-linux emulator,2022-11-03
12,fathyb/carbonyl,11047,Rust,Chromium running inside your terminal,2023-01-20
13,triggerdotdev/trigger.dev,3051,TypeScript,✨ Trigger.dev is an open-source platform that makes it easy for developers to create event-driven background tasks directly in their code.,2022-11-30
14,f/awesome-chatgpt-prompts,28415,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
15,sourcegraph/conc,5914,Go,Better structured concurrency for go,2023-01-02
16,LazyVim/LazyVim,3476,Lua,Neovim config for the lazy,2022-12-30
17,fuergaosi233/wechat-chatgpt,8252,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
18,hiifeng/V2ray-for-Doprax,4643,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
19,google/osv-scanner,4535,Go,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,2022-11-14
20,karpathy/nanoGPT,13328,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
21,folke/lazy.nvim,3146,Lua,💤 A modern plugin manager for Neovim,2022-11-20
22,Stability-AI/stablediffusion,11548,Python,High-Resolution Image Synthesis with Latent Diffusion Models,2022-11-23
23,lencx/ChatGPT,15762,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
24,openblocks-dev/openblocks,4137,TypeScript,🔥 🔥 🔥 The Open Source Retool Alternative,2022-11-14
25,humanloop/awesome-chatgpt,5120,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
26,techiescamp/kubernetes-learning-path,4637,,A roadmap to learn Kubernetes from scratch (Beginner to Advanced level),2022-11-16
27,lucidrains/PaLM-rlhf-pytorch,5325,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
28,apple/ml-stable-diffusion,5426,Python,Stable Diffusion with Core ML on Apple Silicon,2022-11-16
29,wong2/chatgpt-google-extension,10561,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
30,openai/point-e,4326,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
31,timothybrooks/instruct-pix2pix,3487,Python,,2023-01-09
32,google-research/tuning_playbook,15978,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
33,xiaye13579/BBLL,3064,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
34,book-searcher-org/book-searcher,4938,TypeScript,"Easy and fast book searcher, create and search your private library.",2022-11-24
35,atelier-anchor/smiley-sans,10172,HTML,得意黑 Smiley Sans：一款在人文观感和几何特征中寻找平衡的中文黑体,2022-11-11
36,vincelwt/chatgpt-mac,3985,JavaScript,"ChatGPT for Mac, living in your menubar.",2022-12-01
37,calistus-igwilo/nitda-blockchain-scholarship,3056,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
38,m1guelpf/chatgpt-telegram,3007,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
39,mpociot/chatgpt-vscode,3445,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
40,rawandahmad698/PyChatGPT,3419,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
